0.302042	5.09884	0.418105
0.29625	4.95879	0.396151
0.289247	4.79073	0.36928
0.285914	4.70913	0.355948
0.285316	4.69326	0.353633
0.285197	4.69104	0.352958
0.28838	4.75135	0.312774
0.286108	4.74181	0.321419
0.280147	4.47627	0.288334
0.283347	4.54492	0.295102
0.286754	4.68164	0.315221
0.287696	4.68098	0.309463
0.288161	4.77875	0.311185
0.286237	4.71283	0.311408
0.282291	4.55379	0.292235
0.286483	4.5878	0.308367
0.284762	4.50226	0.299325
0.288909	4.72022	0.316735
0.289689	4.78681	0.31589
0.293188	4.8294	0.345474
0.289763	4.66	0.325419
0.283299	4.60142	0.311394
0.295668	4.99366	0.342967
0.287173	4.68045	0.307014
0.28535	4.53727	0.301701
