di 	gli 	gal 	gos3 	 gos4 
0.215283 	0.073128 	0.052000 	0.041429 	 0.003799 
0.223935 	0.074359 	0.052521 	0.043910 	 0.004624 
0.239145 	0.072690 	0.050314 	0.045972 	 0.003310 
0.246134 	0.067216 	0.046241 	0.044338 	 0.002817 
0.240079 	0.078431 	0.054320 	0.048431 	 0.003053 
0.257671 	0.072231 	0.049207 	0.049346 	 0.003439 
0.254115 	0.066835 	0.045499 	0.045697 	 0.002630 
0.230074 	0.065742 	0.045948 	0.039587 	 0.001898 
0.232629 	0.071034 	0.049295 	0.044896 	 0.003265 
0.227885 	0.063906 	0.045086 	0.037185 	 0.001847 
0.249494 	0.067587 	0.046147 	0.045485 	 0.002695 
0.238915 	0.058529 	0.040545 	0.038696 	 0.002170 
0.229660 	0.072020 	0.049969 	0.044608 	 0.003172 
0.239204 	0.082513 	0.056702 	0.052882 	 0.004457 
0.236648 	0.080177 	0.055210 	0.050036 	 0.003418 
0.233081 	0.067194 	0.046512 	0.043351 	 0.002893 
0.252035 	0.077181 	0.052742 	0.050827 	 0.003458 
0.241542 	0.072213 	0.049801 	0.046775 	 0.003519 
0.229774 	0.070222 	0.048639 	0.044257 	 0.002709 
0.238307 	0.080087 	0.054824 	0.052161 	 0.003890 
0.261097 	0.089378 	0.060341 	0.060981 	 0.004691 
0.240665 	0.086866 	0.059576 	0.055186 	 0.004498 
0.205831 	0.089041 	0.062411 	0.050399 	 0.004396 
0.242781 	0.096195 	0.065906 	0.060573 	 0.005109 
0.240841 	0.092487 	0.063449 	0.058328 	 0.004938 
0.248327 	0.081893 	0.055843 	0.053843 	 0.003686 
0.227273 	0.077517 	0.053866 	0.047618 	 0.003916 
0.253324 	0.091564 	0.061960 	0.061270 	 0.005232 
0.250710 	0.092692 	0.063020 	0.060588 	 0.005058 
0.235198 	0.075755 	0.052445 	0.047458 	 0.003546 
0.234897 	0.083839 	0.057440 	0.054651 	 0.004870 
0.239392 	0.079733 	0.054504 	0.052578 	 0.004201 
0.236114 	0.075029 	0.052121 	0.047069 	 0.003985 
0.224974 	0.082432 	0.057355 	0.049760 	 0.004451 
0.206364 	0.070027 	0.049903 	0.038922 	 0.002998 
0.245602 	0.074414 	0.050713 	0.050780 	 0.004172 
0.224416 	0.073705 	0.051714 	0.044251 	 0.003723 
0.249450 	0.077949 	0.053349 	0.051409 	 0.004118 
0.231027 	0.079906 	0.055144 	0.050119 	 0.004243 
0.234543 	0.081886 	0.056335 	0.051929 	 0.004396 
0.235206 	0.069993 	0.048581 	0.044469 	 0.003489 
0.242478 	0.083369 	0.057133 	0.053859 	 0.004608 
0.221903 	0.072434 	0.050157 	0.045228 	 0.003289 
0.214977 	0.073827 	0.051811 	0.043061 	 0.003463 
0.225777 	0.071359 	0.049903 	0.043808 	 0.003985 
0.238750 	0.080095 	0.055023 	0.051839 	 0.004640 
0.217824 	0.072975 	0.051044 	0.043660 	 0.003642 
0.214280 	0.070401 	0.049338 	0.042389 	 0.003530 
0.219357 	0.069864 	0.049008 	0.040850 	 0.002656 
0.234750 	0.073907 	0.051243 	0.046634 	 0.003883 
0.242265 	0.073600 	0.049968 	0.050463 	 0.003946 
0.241407 	0.074130 	0.050988 	0.048482 	 0.004119 
0.241954 	0.084881 	0.057988 	0.054836 	 0.004516 
0.225653 	0.081752 	0.056827 	0.049631 	 0.004555 
0.227740 	0.075225 	0.052112 	0.047238 	 0.004192 
0.233302 	0.078581 	0.054181 	0.050210 	 0.004338 
0.237526 	0.072705 	0.049580 	0.048698 	 0.004042 
0.207833 	0.081349 	0.057495 	0.045826 	 0.004617 
0.223082 	0.072821 	0.051136 	0.043398 	 0.003815 
0.241277 	0.090446 	0.061811 	0.058406 	 0.005440 
0.208341 	0.075656 	0.053378 	0.042941 	 0.003725 
0.224296 	0.075966 	0.053076 	0.046406 	 0.004527 
0.215083 	0.076491 	0.053816 	0.044417 	 0.003938 
0.212418 	0.077362 	0.054277 	0.044836 	 0.003876 
0.222709 	0.077101 	0.053520 	0.047979 	 0.004640 
