di 	gli 	gal 	gos3 	 gos4 
0.267942 	0.081847 	0.055420 	0.050695 	 0.004202 
0.271525 	0.081962 	0.055376 	0.051701 	 0.004597 
0.268843 	0.087061 	0.058899 	0.053989 	 0.004487 
0.273640 	0.083902 	0.056540 	0.053102 	 0.004158 
0.271183 	0.085313 	0.057646 	0.053428 	 0.004067 
0.278903 	0.082642 	0.055530 	0.053415 	 0.004208 
0.269822 	0.087038 	0.058746 	0.054662 	 0.004311 
0.269669 	0.083958 	0.056707 	0.052118 	 0.003884 
0.264512 	0.087339 	0.059191 	0.053774 	 0.004417 
0.265113 	0.086126 	0.058323 	0.052760 	 0.004031 
0.270266 	0.086183 	0.058135 	0.054268 	 0.004254 
0.273803 	0.081090 	0.054586 	0.051255 	 0.003864 
0.264292 	0.087951 	0.059533 	0.054487 	 0.004505 
0.267956 	0.089184 	0.060342 	0.055739 	 0.004885 
0.265948 	0.089117 	0.060289 	0.055593 	 0.004559 
0.266671 	0.085214 	0.057644 	0.052823 	 0.004195 
0.275363 	0.085317 	0.057464 	0.054510 	 0.004337 
0.270745 	0.085875 	0.057984 	0.054070 	 0.004482 
0.266556 	0.085324 	0.057714 	0.052877 	 0.004093 
0.265692 	0.088771 	0.060088 	0.055365 	 0.004614 
0.272756 	0.088987 	0.060050 	0.056920 	 0.004750 
0.267138 	0.090739 	0.061431 	0.056584 	 0.004949 
0.254533 	0.093622 	0.063721 	0.056823 	 0.005132 
0.265903 	0.093351 	0.063274 	0.058211 	 0.005223 
0.264297 	0.092582 	0.062736 	0.057917 	 0.005154 
0.268995 	0.088542 	0.059859 	0.055602 	 0.004483 
0.267082 	0.086999 	0.058854 	0.054354 	 0.004640 
0.270166 	0.091242 	0.061648 	0.057830 	 0.005161 
0.269180 	0.091815 	0.062096 	0.057857 	 0.005127 
0.270631 	0.085439 	0.057691 	0.053818 	 0.004421 
0.262696 	0.090890 	0.061623 	0.056532 	 0.005063 
0.266557 	0.088353 	0.059767 	0.055365 	 0.004688 
0.267886 	0.087400 	0.059148 	0.054552 	 0.004722 
0.261323 	0.091668 	0.062264 	0.056014 	 0.005080 
0.257479 	0.087872 	0.059799 	0.052670 	 0.004404 
0.265486 	0.089177 	0.060373 	0.055593 	 0.004813 
0.262510 	0.087948 	0.059707 	0.053760 	 0.004582 
0.272437 	0.086871 	0.058620 	0.055154 	 0.004674 
0.260018 	0.092263 	0.062613 	0.056799 	 0.005076 
0.263046 	0.091867 	0.062315 	0.056579 	 0.005082 
0.266510 	0.087365 	0.059139 	0.054219 	 0.004622 
0.265958 	0.091296 	0.061852 	0.056719 	 0.005077 
0.260601 	0.088592 	0.060091 	0.054204 	 0.004516 
0.256500 	0.091417 	0.062152 	0.055342 	 0.004846 
0.260859 	0.090405 	0.061424 	0.054885 	 0.004978 
0.265190 	0.090504 	0.061301 	0.056463 	 0.005105 
0.255347 	0.092508 	0.062926 	0.055919 	 0.004999 
0.255256 	0.090792 	0.061796 	0.054544 	 0.004797 
0.260234 	0.089892 	0.061067 	0.054136 	 0.004525 
0.265194 	0.088792 	0.060162 	0.055004 	 0.004817 
0.263363 	0.089999 	0.060953 	0.055849 	 0.004818 
0.264425 	0.090469 	0.061314 	0.056048 	 0.005009 
0.261487 	0.093705 	0.063553 	0.058057 	 0.005203 
0.257036 	0.094760 	0.064512 	0.057209 	 0.005352 
0.257828 	0.093467 	0.063573 	0.056544 	 0.005225 
0.259634 	0.091956 	0.062480 	0.056254 	 0.005034 
0.260032 	0.093094 	0.063194 	0.056856 	 0.005175 
0.248441 	0.097062 	0.066318 	0.057629 	 0.005559 
0.259579 	0.090751 	0.061696 	0.055100 	 0.004954 
0.260087 	0.096194 	0.065371 	0.059113 	 0.005629 
0.251272 	0.094211 	0.064241 	0.056223 	 0.005138 
0.257659 	0.092685 	0.063063 	0.056298 	 0.005301 
0.255701 	0.092787 	0.063193 	0.055850 	 0.005104 
0.254515 	0.093817 	0.063922 	0.056033 	 0.005127 
0.251637 	0.096379 	0.065685 	0.058035 	 0.005566 
0.253218 	0.095812 	0.065230 	0.058009 	 0.005421 
0.256517 	0.094429 	0.064264 	0.057271 	 0.005184 
0.254250 	0.092101 	0.062742 	0.055112 	 0.005036 
0.246559 	0.097850 	0.066890 	0.057881 	 0.005623 
0.254330 	0.092810 	0.063286 	0.055441 	 0.005133 
0.255210 	0.094551 	0.064421 	0.057062 	 0.005158 
0.257680 	0.092703 	0.063036 	0.056431 	 0.005073 
0.262245 	0.090238 	0.061200 	0.055436 	 0.004889 
0.256847 	0.098006 	0.066702 	0.059748 	 0.005847 
0.253466 	0.095372 	0.065020 	0.056828 	 0.005294 
0.256631 	0.091626 	0.062393 	0.055175 	 0.005107 
0.257353 	0.095508 	0.065002 	0.057785 	 0.005386 
0.251519 	0.098983 	0.067527 	0.059719 	 0.005843 
0.251324 	0.095161 	0.064905 	0.056924 	 0.005248 
0.255181 	0.097009 	0.066061 	0.058560 	 0.005623 
0.250012 	0.097433 	0.066549 	0.057681 	 0.005556 
0.251128 	0.097000 	0.066175 	0.058192 	 0.005650 
0.253026 	0.099647 	0.067978 	0.059997 	 0.005976 
0.252000 	0.096149 	0.065630 	0.057521 	 0.005390 
0.252215 	0.093491 	0.063804 	0.055567 	 0.005249 
0.255014 	0.093405 	0.063679 	0.055826 	 0.005107 
0.255857 	0.094395 	0.064319 	0.056857 	 0.005378 
0.254820 	0.093955 	0.064031 	0.056336 	 0.005170 
0.246785 	0.100979 	0.068971 	0.060280 	 0.005997 
0.254741 	0.095246 	0.064917 	0.057356 	 0.005423 
0.249414 	0.098498 	0.067292 	0.058841 	 0.005744 
0.250925 	0.098735 	0.067369 	0.058899 	 0.005674 
0.245390 	0.100326 	0.068576 	0.059667 	 0.005923 
0.249029 	0.097174 	0.066388 	0.057884 	 0.005567 
0.250615 	0.097905 	0.066865 	0.058620 	 0.005594 
0.250685 	0.097675 	0.066665 	0.058060 	 0.005631 
0.248532 	0.100250 	0.068519 	0.059527 	 0.005958 
0.245386 	0.100729 	0.068891 	0.059764 	 0.006002 
0.244367 	0.098321 	0.067323 	0.057589 	 0.005633 
0.245794 	0.096737 	0.066205 	0.056620 	 0.005350 
0.251775 	0.098099 	0.066928 	0.058592 	 0.005683 
0.252126 	0.098094 	0.066952 	0.058926 	 0.005824 
0.245359 	0.098133 	0.067144 	0.057763 	 0.005587 
0.251580 	0.096577 	0.065972 	0.057343 	 0.005360 
0.247396 	0.099465 	0.068025 	0.058537 	 0.005763 
0.248976 	0.101532 	0.069346 	0.060977 	 0.006083 
0.248821 	0.099452 	0.067920 	0.059069 	 0.005843 
0.251413 	0.096750 	0.066019 	0.057824 	 0.005538 
0.246153 	0.100986 	0.069131 	0.059384 	 0.006047 
0.246013 	0.100768 	0.068996 	0.059040 	 0.005824 
0.242991 	0.102230 	0.070072 	0.059466 	 0.005935 
0.246571 	0.098851 	0.067635 	0.058135 	 0.005671 
0.246196 	0.099598 	0.068161 	0.058312 	 0.005731 
0.247449 	0.099685 	0.068193 	0.058992 	 0.005698 
0.237891 	0.102691 	0.070443 	0.059484 	 0.005938 
0.246492 	0.100340 	0.068698 	0.059376 	 0.005934 
0.237494 	0.103620 	0.071137 	0.059930 	 0.006065 
0.240256 	0.103803 	0.071200 	0.060687 	 0.006275 
0.242892 	0.103961 	0.071187 	0.061471 	 0.006338 
0.246332 	0.099366 	0.068007 	0.058512 	 0.005619 
0.237092 	0.103137 	0.070797 	0.059561 	 0.006083 
0.245746 	0.101878 	0.069704 	0.060479 	 0.006031 
0.243866 	0.101135 	0.069304 	0.059162 	 0.005986 
0.240767 	0.100505 	0.068964 	0.057589 	 0.005611 
0.242012 	0.102166 	0.070025 	0.059372 	 0.006021 
0.243494 	0.100475 	0.068869 	0.058066 	 0.005659 
0.242575 	0.103524 	0.070953 	0.060367 	 0.006100 
0.236137 	0.104466 	0.071762 	0.060327 	 0.006320 
0.238557 	0.101573 	0.069775 	0.058492 	 0.005883 
0.245667 	0.102556 	0.070253 	0.060455 	 0.006141 
0.235085 	0.105540 	0.072538 	0.060838 	 0.006334 
0.241648 	0.103530 	0.070995 	0.060146 	 0.006132 
0.241134 	0.104512 	0.071741 	0.060558 	 0.006242 
0.238435 	0.100287 	0.068875 	0.057472 	 0.005673 
0.241536 	0.102978 	0.070673 	0.060184 	 0.006187 
0.234003 	0.105692 	0.072653 	0.060681 	 0.006280 
0.236284 	0.105411 	0.072351 	0.061128 	 0.006277 
0.232853 	0.105837 	0.072820 	0.060524 	 0.006391 
0.241999 	0.106925 	0.073342 	0.062729 	 0.006617 
0.240852 	0.103468 	0.071008 	0.059704 	 0.005959 
0.238442 	0.104611 	0.071833 	0.060213 	 0.006222 
0.241138 	0.107554 	0.073726 	0.063599 	 0.006790 
0.235865 	0.105772 	0.072713 	0.060533 	 0.006308 
0.236228 	0.106542 	0.073273 	0.061031 	 0.006423 
0.235591 	0.105397 	0.072461 	0.060899 	 0.006512 
0.239623 	0.103375 	0.070978 	0.059983 	 0.006210 
0.238269 	0.103811 	0.071314 	0.059897 	 0.006146 
0.235274 	0.106230 	0.073022 	0.061110 	 0.006285 
0.232766 	0.106784 	0.073477 	0.060829 	 0.006498 
0.235239 	0.107823 	0.074145 	0.062194 	 0.006544 
0.232924 	0.105150 	0.072361 	0.059812 	 0.006141 
0.238736 	0.103145 	0.070818 	0.059501 	 0.005844 
0.236408 	0.106893 	0.073406 	0.061961 	 0.006409 
0.234241 	0.109448 	0.075291 	0.062956 	 0.006913 
0.233023 	0.109395 	0.075236 	0.063181 	 0.006888 
0.239116 	0.104910 	0.072029 	0.060976 	 0.006385 
0.237411 	0.107689 	0.073979 	0.062257 	 0.006598 
0.234853 	0.103941 	0.071545 	0.059050 	 0.006103 
0.233200 	0.107073 	0.073686 	0.060712 	 0.006273 
0.235358 	0.107636 	0.074043 	0.061510 	 0.006418 
0.227493 	0.107712 	0.074243 	0.060574 	 0.006332 
0.226721 	0.110723 	0.076356 	0.062745 	 0.006834 
0.234082 	0.107526 	0.073971 	0.061694 	 0.006380 
0.229303 	0.109828 	0.075659 	0.062411 	 0.006660 
0.232004 	0.109266 	0.075200 	0.062567 	 0.006681 
0.230091 	0.108561 	0.074762 	0.061636 	 0.006376 
0.226950 	0.110515 	0.076164 	0.062651 	 0.006815 
0.232530 	0.105991 	0.073012 	0.060088 	 0.006342 
0.229752 	0.109230 	0.075319 	0.061417 	 0.006473 
0.227966 	0.109876 	0.075803 	0.061673 	 0.006683 
0.228120 	0.107415 	0.074043 	0.060505 	 0.006318 
0.227799 	0.108277 	0.074703 	0.060433 	 0.006420 
0.224933 	0.110075 	0.075980 	0.061568 	 0.006585 
0.226522 	0.112152 	0.077387 	0.063331 	 0.006878 
0.232389 	0.109949 	0.075713 	0.062960 	 0.006791 
0.230844 	0.109169 	0.075247 	0.061943 	 0.006644 
0.231674 	0.108414 	0.074731 	0.061458 	 0.006544 
0.227756 	0.110961 	0.076510 	0.062452 	 0.006738 
0.226993 	0.108967 	0.075136 	0.061286 	 0.006549 
0.227789 	0.111931 	0.077205 	0.063047 	 0.006791 
0.235375 	0.108125 	0.074420 	0.062074 	 0.006597 
0.224724 	0.111667 	0.077093 	0.062639 	 0.006735 
0.232189 	0.111091 	0.076517 	0.063393 	 0.006872 
0.230310 	0.106966 	0.073667 	0.060661 	 0.006343 
0.224525 	0.108768 	0.075146 	0.060581 	 0.006452 
0.224316 	0.113491 	0.078403 	0.063449 	 0.007032 
0.228789 	0.112603 	0.077615 	0.064302 	 0.007078 
0.224791 	0.114670 	0.079149 	0.064608 	 0.007252 
0.228621 	0.110955 	0.076493 	0.062970 	 0.006864 
0.221606 	0.110783 	0.076574 	0.061588 	 0.006774 
0.224281 	0.110340 	0.076207 	0.061663 	 0.006646 
0.223317 	0.113770 	0.078529 	0.064087 	 0.007075 
0.222519 	0.114291 	0.078900 	0.064415 	 0.007177 
0.226718 	0.113051 	0.078003 	0.063618 	 0.006960 
0.229737 	0.109387 	0.075371 	0.062057 	 0.006682 
0.219368 	0.114530 	0.079202 	0.063672 	 0.007090 
0.227289 	0.113034 	0.077985 	0.063567 	 0.006903 
0.223021 	0.112852 	0.077973 	0.062695 	 0.006866 
0.222347 	0.113773 	0.078608 	0.063845 	 0.007114 
0.221816 	0.114724 	0.079292 	0.064290 	 0.007279 
0.220303 	0.114032 	0.078881 	0.063471 	 0.007084 
0.222863 	0.115383 	0.079724 	0.064881 	 0.007163 
0.224963 	0.114313 	0.078875 	0.064873 	 0.007379 
0.222095 	0.116449 	0.080461 	0.065070 	 0.007314 
0.218741 	0.115968 	0.080254 	0.064557 	 0.007310 
0.219725 	0.115542 	0.079886 	0.064333 	 0.006995 
0.226253 	0.111320 	0.076824 	0.062548 	 0.006722 
0.218987 	0.118074 	0.081688 	0.065726 	 0.007571 
0.222001 	0.118290 	0.081743 	0.066534 	 0.007586 
0.220006 	0.114446 	0.079131 	0.063738 	 0.007062 
0.217758 	0.114548 	0.079272 	0.063226 	 0.006918 
0.215939 	0.119718 	0.082891 	0.066610 	 0.007713 
0.222907 	0.113316 	0.078307 	0.063044 	 0.006851 
0.215799 	0.116625 	0.080760 	0.064553 	 0.007376 
0.213751 	0.118992 	0.082479 	0.065557 	 0.007587 
0.218975 	0.118343 	0.081834 	0.066146 	 0.007466 
0.207416 	0.115212 	0.080101 	0.061269 	 0.006878 
0.215394 	0.120905 	0.083742 	0.067261 	 0.007822 
0.218610 	0.116891 	0.080925 	0.064856 	 0.007420 
0.213721 	0.117484 	0.081454 	0.064286 	 0.007321 
0.218082 	0.118853 	0.082251 	0.065840 	 0.007551 
0.209306 	0.119951 	0.083268 	0.065090 	 0.007551 
0.209450 	0.121381 	0.084186 	0.066485 	 0.007834 
0.211486 	0.117130 	0.081205 	0.063614 	 0.007056 
0.215594 	0.121356 	0.084001 	0.067522 	 0.007778 
0.214395 	0.119943 	0.083175 	0.065987 	 0.007679 
0.211785 	0.121738 	0.084415 	0.066539 	 0.007698 
0.211956 	0.117947 	0.081886 	0.063463 	 0.007192 
0.216365 	0.121163 	0.083897 	0.067476 	 0.007850 
0.211595 	0.119535 	0.082920 	0.064722 	 0.007307 
0.208052 	0.122150 	0.084797 	0.066498 	 0.007687 
0.209968 	0.118309 	0.082171 	0.063689 	 0.007251 
0.209512 	0.120070 	0.083406 	0.064391 	 0.007288 
0.211886 	0.118817 	0.082499 	0.064385 	 0.007366 
0.208095 	0.122707 	0.085225 	0.066171 	 0.007578 
0.205389 	0.122409 	0.085104 	0.065659 	 0.007484 
0.207944 	0.122566 	0.085087 	0.066770 	 0.007777 
0.203247 	0.122553 	0.085219 	0.065448 	 0.007529 
