di 	gli 	gal 	gos3 	 gos4 
0.297298 	0.010208 	0.008102 	0.016248 	 0.001344 
0.274147 	0.023042 	0.015300 	0.025489 	 0.001974 
0.216654 	0.064929 	0.047310 	0.035801 	 0.002300 
0.213275 	0.054033 	0.039133 	0.032892 	 0.001714 
0.248514 	0.060572 	0.044002 	0.037489 	 0.003047 
0.216371 	0.062952 	0.046157 	0.036857 	 0.002508 
0.262436 	0.051389 	0.035659 	0.037747 	 0.001873 
0.220264 	0.052984 	0.038162 	0.035464 	 0.001863 
0.242086 	0.056636 	0.039030 	0.042005 	 0.002621 
0.225014 	0.062932 	0.045443 	0.037317 	 0.002610 
0.256325 	0.056382 	0.039169 	0.038684 	 0.003072 
0.209960 	0.053992 	0.040666 	0.029502 	 0.001770 
0.212211 	0.074687 	0.052631 	0.046201 	 0.003592 
0.176556 	0.095201 	0.067976 	0.051834 	 0.004717 
0.220861 	0.068053 	0.048483 	0.042924 	 0.003794 
0.219315 	0.061626 	0.043157 	0.041973 	 0.002627 
0.173645 	0.081957 	0.059832 	0.040774 	 0.002804 
0.199540 	0.071944 	0.051785 	0.042605 	 0.002794 
0.193028 	0.080275 	0.056506 	0.047159 	 0.003267 
0.198627 	0.074831 	0.053675 	0.043544 	 0.003264 
0.210210 	0.095540 	0.066482 	0.054602 	 0.004072 
0.250559 	0.063161 	0.045349 	0.039992 	 0.003553 
0.146732 	0.083215 	0.061377 	0.043329 	 0.003761 
0.193662 	0.090004 	0.064705 	0.048808 	 0.004310 
0.200869 	0.082520 	0.058150 	0.050397 	 0.003999 
0.251719 	0.071034 	0.049769 	0.046048 	 0.004178 
0.179954 	0.075054 	0.054383 	0.045305 	 0.004202 
0.177003 	0.088213 	0.064290 	0.044894 	 0.004557 
0.231529 	0.078091 	0.053978 	0.049741 	 0.004565 
0.192733 	0.058252 	0.044658 	0.032625 	 0.003496 
0.161545 	0.086704 	0.062427 	0.046392 	 0.003919 
0.187224 	0.081089 	0.059042 	0.043646 	 0.003894 
0.174959 	0.078644 	0.058136 	0.039500 	 0.003371 
0.200512 	0.077165 	0.054989 	0.044433 	 0.003685 
0.177941 	0.072266 	0.053483 	0.035821 	 0.003123 
0.193790 	0.082387 	0.060047 	0.043220 	 0.003790 
0.194599 	0.071059 	0.052527 	0.037013 	 0.003458 
0.198085 	0.079044 	0.056015 	0.046720 	 0.003584 
0.199334 	0.069998 	0.050741 	0.039616 	 0.003365 
0.176195 	0.092398 	0.064938 	0.051500 	 0.004232 
0.192908 	0.081978 	0.058319 	0.046229 	 0.003727 
0.208438 	0.080742 	0.058570 	0.041157 	 0.003294 
0.161006 	0.085890 	0.061930 	0.044509 	 0.003574 
0.209975 	0.084141 	0.059417 	0.048470 	 0.004248 
0.199112 	0.077569 	0.055667 	0.043346 	 0.004002 
0.203395 	0.080489 	0.056179 	0.050906 	 0.004290 
0.206355 	0.080579 	0.055528 	0.051070 	 0.003994 
0.182425 	0.073224 	0.051261 	0.045676 	 0.003488 
0.208657 	0.061563 	0.046734 	0.029289 	 0.002900 
0.149727 	0.077661 	0.058794 	0.035200 	 0.002728 
0.191969 	0.073368 	0.052960 	0.042769 	 0.003821 
0.194499 	0.071235 	0.050169 	0.042846 	 0.003220 
0.191363 	0.084963 	0.060458 	0.047677 	 0.004054 
0.195499 	0.070323 	0.049778 	0.043026 	 0.003885 
0.196575 	0.073462 	0.052476 	0.043694 	 0.003867 
0.199324 	0.078086 	0.055621 	0.045016 	 0.003152 
0.182530 	0.089972 	0.063199 	0.049042 	 0.003396 
0.169843 	0.076754 	0.055636 	0.040900 	 0.003347 
0.171766 	0.083219 	0.059768 	0.043428 	 0.002537 
0.182127 	0.099412 	0.067893 	0.061234 	 0.004677 
0.157183 	0.088817 	0.063547 	0.047423 	 0.003879 
0.182725 	0.074642 	0.053792 	0.043714 	 0.003668 
0.160873 	0.090025 	0.063880 	0.048424 	 0.004077 
0.169722 	0.081790 	0.058316 	0.045089 	 0.003997 
0.162078 	0.079048 	0.057271 	0.041077 	 0.003485 
0.149420 	0.098394 	0.069710 	0.051631 	 0.004357 
0.183582 	0.085411 	0.061812 	0.045016 	 0.004490 
0.162752 	0.078160 	0.056820 	0.040285 	 0.003105 
