di 	gli 	gal 	gos3 	 gos4 
0.285074 	0.009053 	0.007296 	0.008609 	 0.000709 
0.299968 	0.010401 	0.005451 	0.013067 	 0.000808 
0.237792 	0.045148 	0.033925 	0.025733 	 0.001637 
0.240320 	0.035312 	0.027150 	0.023086 	 0.000541 
0.243850 	0.038777 	0.029452 	0.024254 	 0.001018 
0.211728 	0.061764 	0.045507 	0.034716 	 0.001909 
0.256935 	0.044729 	0.031486 	0.032455 	 0.001194 
0.244796 	0.044959 	0.032614 	0.031165 	 0.001389 
0.240259 	0.054594 	0.038484 	0.038227 	 0.002547 
0.231165 	0.048504 	0.035998 	0.028723 	 0.001447 
0.260910 	0.048879 	0.034730 	0.031657 	 0.002471 
0.188715 	0.058145 	0.042594 	0.032877 	 0.001629 
0.221820 	0.062412 	0.045562 	0.037184 	 0.002351 
0.193191 	0.079429 	0.058986 	0.039979 	 0.003858 
0.205272 	0.060663 	0.044288 	0.034777 	 0.002606 
0.211443 	0.059331 	0.042797 	0.036944 	 0.002038 
0.184871 	0.068395 	0.050596 	0.035559 	 0.002335 
0.194132 	0.072678 	0.052605 	0.041424 	 0.002818 
0.192985 	0.071015 	0.050803 	0.042284 	 0.002735 
0.212692 	0.066189 	0.047131 	0.040151 	 0.002959 
0.173298 	0.101435 	0.070377 	0.058363 	 0.004574 
0.214024 	0.053980 	0.041564 	0.027028 	 0.002156 
0.174905 	0.080356 	0.058096 	0.045894 	 0.003393 
0.185262 	0.084123 	0.061776 	0.044022 	 0.003590 
0.218229 	0.058994 	0.042067 	0.040722 	 0.002946 
0.215759 	0.057071 	0.041682 	0.036413 	 0.002820 
0.223209 	0.060787 	0.044608 	0.039953 	 0.003145 
0.166195 	0.069120 	0.051364 	0.038844 	 0.003309 
0.219021 	0.073300 	0.052152 	0.043200 	 0.003566 
0.186705 	0.054243 	0.041746 	0.029722 	 0.002219 
0.173741 	0.080458 	0.058354 	0.042208 	 0.003342 
0.187004 	0.068125 	0.049429 	0.039221 	 0.003213 
0.169806 	0.072683 	0.054153 	0.037766 	 0.002720 
0.210249 	0.065191 	0.047535 	0.036007 	 0.002716 
0.194090 	0.068920 	0.049885 	0.037855 	 0.003294 
0.217138 	0.061663 	0.045942 	0.036164 	 0.002834 
0.209935 	0.050035 	0.038035 	0.027902 	 0.002279 
0.184242 	0.076553 	0.053724 	0.045157 	 0.002810 
0.195917 	0.061776 	0.045193 	0.035419 	 0.002698 
0.180849 	0.090702 	0.063852 	0.049249 	 0.003690 
0.189692 	0.079580 	0.057436 	0.044487 	 0.003410 
0.184733 	0.080774 	0.058976 	0.039473 	 0.003041 
0.178517 	0.078067 	0.055565 	0.045966 	 0.003252 
0.203949 	0.071847 	0.052633 	0.036474 	 0.003229 
0.196666 	0.068917 	0.050149 	0.038550 	 0.002748 
0.192040 	0.071508 	0.051727 	0.040499 	 0.002609 
0.199461 	0.071045 	0.050150 	0.042935 	 0.003319 
0.180355 	0.081892 	0.056483 	0.051099 	 0.003989 
0.198781 	0.054590 	0.042097 	0.026760 	 0.002022 
0.131261 	0.083842 	0.062282 	0.037068 	 0.002430 
0.175960 	0.074911 	0.054107 	0.044697 	 0.003450 
0.194310 	0.065722 	0.046178 	0.040810 	 0.002877 
