di 	gli 	gal 	gos3 	 gos4 
0.295420 	0.014750 	0.010573 	0.011270 	 0.001075 
0.295329 	0.013674 	0.007692 	0.014882 	 0.000973 
0.240777 	0.045099 	0.033243 	0.025519 	 0.001680 
0.244482 	0.035012 	0.025689 	0.021818 	 0.000512 
0.255567 	0.037226 	0.027680 	0.022650 	 0.000929 
0.217624 	0.057357 	0.041852 	0.032962 	 0.001838 
0.254251 	0.047278 	0.033481 	0.031001 	 0.001287 
0.242905 	0.045131 	0.032468 	0.030692 	 0.001381 
0.250286 	0.049700 	0.034730 	0.036911 	 0.002510 
0.233628 	0.051926 	0.038599 	0.030028 	 0.001423 
0.248311 	0.052756 	0.037737 	0.032006 	 0.002206 
0.186672 	0.058347 	0.042068 	0.032518 	 0.001636 
0.220010 	0.059895 	0.043880 	0.036087 	 0.002004 
0.186204 	0.081943 	0.060563 	0.041027 	 0.003760 
0.206328 	0.060202 	0.044374 	0.033811 	 0.002555 
0.201282 	0.061427 	0.044310 	0.037882 	 0.001989 
0.195648 	0.065424 	0.047332 	0.035468 	 0.002166 
0.205870 	0.068184 	0.049377 	0.040478 	 0.002724 
0.199601 	0.072816 	0.051998 	0.041443 	 0.002866 
0.214092 	0.067801 	0.048223 	0.039543 	 0.002904 
0.168462 	0.101961 	0.070762 	0.059287 	 0.004723 
0.211107 	0.055943 	0.042835 	0.028215 	 0.002125 
0.180142 	0.078903 	0.056757 	0.044236 	 0.003346 
0.191427 	0.080849 	0.058508 	0.043238 	 0.003463 
0.221221 	0.060746 	0.042730 	0.041350 	 0.003092 
0.223776 	0.058732 	0.041682 	0.036590 	 0.002820 
0.222167 	0.062053 	0.044353 	0.042415 	 0.003226 
0.173764 	0.070409 	0.052041 	0.039136 	 0.003360 
0.214710 	0.073036 	0.051853 	0.041966 	 0.003418 
0.195442 	0.057689 	0.042628 	0.031159 	 0.002481 
0.171659 	0.083605 	0.059566 	0.043146 	 0.003276 
0.190685 	0.069955 	0.050070 	0.038949 	 0.003275 
0.181328 	0.073341 	0.053840 	0.038636 	 0.002904 
0.210336 	0.064738 	0.047320 	0.035630 	 0.002580 
0.191143 	0.068648 	0.049367 	0.035882 	 0.003070 
0.211367 	0.062213 	0.045991 	0.034587 	 0.002570 
0.216678 	0.050996 	0.038237 	0.028001 	 0.002428 
0.195554 	0.070507 	0.049776 	0.043729 	 0.002723 
0.193452 	0.067895 	0.048719 	0.038950 	 0.002900 
0.175530 	0.089939 	0.063724 	0.049043 	 0.003586 
0.198917 	0.078277 	0.055892 	0.044252 	 0.003457 
0.194351 	0.080393 	0.057707 	0.041141 	 0.003070 
0.176539 	0.081569 	0.057214 	0.047167 	 0.003246 
0.206212 	0.070815 	0.051443 	0.036911 	 0.003244 
0.198968 	0.066141 	0.048529 	0.035936 	 0.002430 
0.195135 	0.074971 	0.053688 	0.042324 	 0.002826 
0.193855 	0.073944 	0.052564 	0.043724 	 0.003447 
0.168993 	0.081530 	0.056788 	0.050462 	 0.003878 
0.203728 	0.055262 	0.042296 	0.026784 	 0.001915 
0.137000 	0.085142 	0.062803 	0.040135 	 0.002562 
0.183932 	0.076027 	0.053849 	0.043646 	 0.003475 
0.194646 	0.066068 	0.046673 	0.041337 	 0.002848 
0.195058 	0.069893 	0.049543 	0.041045 	 0.002866 
0.192324 	0.070432 	0.051153 	0.041554 	 0.003031 
0.184789 	0.061618 	0.046174 	0.034389 	 0.002527 
0.195225 	0.062058 	0.044817 	0.035352 	 0.002268 
0.183685 	0.077143 	0.055371 	0.042679 	 0.002581 
0.170996 	0.077488 	0.055794 	0.040231 	 0.003006 
0.161359 	0.083412 	0.060499 	0.040936 	 0.002394 
0.177691 	0.089815 	0.063039 	0.053512 	 0.003845 
0.177494 	0.078430 	0.055358 	0.044051 	 0.003109 
0.177226 	0.078013 	0.056819 	0.042523 	 0.003429 
0.151565 	0.077828 	0.056130 	0.039347 	 0.002728 
0.151907 	0.079615 	0.057627 	0.043386 	 0.003313 
0.140345 	0.079143 	0.057893 	0.038285 	 0.002920 
0.167485 	0.075276 	0.054204 	0.040599 	 0.003876 
0.169804 	0.074107 	0.054522 	0.037029 	 0.002993 
0.166813 	0.081912 	0.058127 	0.044824 	 0.003627 
0.172465 	0.075079 	0.055390 	0.038416 	 0.003045 
0.176544 	0.068771 	0.050159 	0.036607 	 0.002842 
0.157238 	0.080602 	0.057413 	0.045268 	 0.003605 
