di 	gli 	gal 	gos3 	 gos4 
0.211753 	0.079884 	0.055849 	0.045578 	 0.003042 
0.238703 	0.073922 	0.050543 	0.047017 	 0.003426 
0.230723 	0.082620 	0.056881 	0.049645 	 0.002915 
0.217511 	0.078831 	0.054755 	0.047436 	 0.002406 
0.190313 	0.095993 	0.068206 	0.050930 	 0.003525 
0.255930 	0.077326 	0.052239 	0.051741 	 0.002998 
0.250284 	0.073721 	0.049914 	0.048268 	 0.002129 
0.177635 	0.084995 	0.059792 	0.045855 	 0.001588 
0.213846 	0.081334 	0.056665 	0.048526 	 0.002960 
0.172206 	0.082639 	0.059625 	0.040233 	 0.001693 
0.229908 	0.078613 	0.053971 	0.048747 	 0.002475 
0.214767 	0.073018 	0.050712 	0.044793 	 0.001556 
0.184167 	0.088718 	0.062292 	0.049274 	 0.002854 
0.210822 	0.096562 	0.067154 	0.057542 	 0.004407 
0.193166 	0.096128 	0.066779 	0.054693 	 0.003497 
0.214336 	0.079226 	0.054896 	0.048547 	 0.002325 
0.213041 	0.088470 	0.061345 	0.052446 	 0.003264 
0.211977 	0.084125 	0.058620 	0.050208 	 0.003139 
0.197241 	0.090227 	0.063084 	0.052322 	 0.002726 
0.222154 	0.093590 	0.064059 	0.058701 	 0.003885 
0.259711 	0.096957 	0.065488 	0.064117 	 0.004973 
0.216816 	0.098789 	0.067902 	0.059376 	 0.004696 
0.125877 	0.116294 	0.083251 	0.058247 	 0.004579 
0.211424 	0.108691 	0.075196 	0.063149 	 0.005423 
0.211132 	0.104897 	0.072635 	0.061911 	 0.005185 
0.229362 	0.094970 	0.065275 	0.058289 	 0.003971 
0.168996 	0.094476 	0.066824 	0.052012 	 0.003649 
0.238987 	0.097089 	0.065588 	0.061872 	 0.005138 
0.227915 	0.099597 	0.067847 	0.060893 	 0.005190 
0.196673 	0.090452 	0.063193 	0.052258 	 0.003295 
0.208511 	0.093531 	0.064458 	0.058300 	 0.004420 
0.212088 	0.091386 	0.063078 	0.056450 	 0.004052 
0.202302 	0.084393 	0.059589 	0.048278 	 0.003464 
0.181456 	0.096530 	0.067813 	0.053686 	 0.004158 
0.152676 	0.092613 	0.067219 	0.045715 	 0.002899 
0.246992 	0.078341 	0.053125 	0.052861 	 0.003597 
0.178109 	0.086052 	0.061977 	0.044918 	 0.003449 
0.229488 	0.082809 	0.056728 	0.052010 	 0.003669 
0.200364 	0.089836 	0.062215 	0.053020 	 0.003840 
0.205619 	0.092652 	0.063956 	0.055409 	 0.003953 
