di 	gli 	gal 	gos3 	 gos4 
0.296174 	0.013943 	0.009973 	0.011654 	 0.001094 
0.298416 	0.012381 	0.006654 	0.015465 	 0.000982 
0.236925 	0.044673 	0.033537 	0.025307 	 0.001617 
0.244090 	0.034646 	0.025610 	0.022936 	 0.000509 
0.257510 	0.035873 	0.026839 	0.022689 	 0.000855 
0.215605 	0.057472 	0.042228 	0.033732 	 0.001786 
0.251421 	0.047736 	0.033954 	0.030890 	 0.001230 
0.240903 	0.044412 	0.031960 	0.029149 	 0.001290 
0.252154 	0.049583 	0.034362 	0.038031 	 0.002498 
0.234401 	0.051485 	0.038455 	0.029815 	 0.001486 
0.251332 	0.051640 	0.036849 	0.031394 	 0.002168 
0.186651 	0.057460 	0.041868 	0.032718 	 0.001604 
0.221196 	0.059053 	0.043318 	0.035547 	 0.002054 
0.188012 	0.082667 	0.060193 	0.041514 	 0.003816 
0.206804 	0.057991 	0.042805 	0.032600 	 0.002505 
0.203341 	0.061215 	0.043738 	0.038591 	 0.002040 
0.194864 	0.064464 	0.046976 	0.034801 	 0.002133 
0.205928 	0.067474 	0.048748 	0.040059 	 0.002687 
0.199445 	0.071084 	0.050621 	0.042066 	 0.002750 
0.213549 	0.066526 	0.047306 	0.039911 	 0.002913 
0.167639 	0.101776 	0.070630 	0.059763 	 0.004727 
0.210559 	0.055871 	0.042051 	0.028497 	 0.002092 
0.179413 	0.080060 	0.058138 	0.044956 	 0.003417 
0.188738 	0.079734 	0.058394 	0.043007 	 0.003409 
0.222168 	0.061339 	0.043408 	0.042106 	 0.003175 
0.223881 	0.057989 	0.041622 	0.037009 	 0.002797 
0.225158 	0.060322 	0.043186 	0.041501 	 0.003217 
0.170842 	0.070919 	0.051231 	0.039585 	 0.003446 
0.213545 	0.072872 	0.051867 	0.041848 	 0.003385 
0.191801 	0.056940 	0.042476 	0.031403 	 0.002385 
0.172424 	0.082166 	0.058752 	0.043574 	 0.003156 
0.193023 	0.067509 	0.048749 	0.039401 	 0.003144 
0.178964 	0.072826 	0.054018 	0.037896 	 0.002817 
0.209824 	0.065430 	0.047473 	0.035979 	 0.002608 
0.190895 	0.068516 	0.049427 	0.036671 	 0.003107 
0.213301 	0.061151 	0.045433 	0.034987 	 0.002580 
0.215591 	0.050202 	0.038065 	0.028181 	 0.002421 
0.194375 	0.069732 	0.048862 	0.042695 	 0.002663 
0.193961 	0.067488 	0.048718 	0.038343 	 0.002841 
0.178222 	0.090006 	0.062851 	0.049562 	 0.003673 
0.198927 	0.078456 	0.056273 	0.045189 	 0.003511 
0.190622 	0.079784 	0.057466 	0.040281 	 0.003008 
0.178782 	0.080052 	0.056077 	0.048753 	 0.003167 
0.204585 	0.071665 	0.051797 	0.037352 	 0.003228 
