di 	gli 	gal 	gos3 	 gos4 
0.310952 	-0.011820 	-0.006671 	0.000442 	 -0.000331 
0.310250 	0.002349 	0.000319 	0.015018 	 0.001030 
0.231778 	0.047256 	0.034482 	0.029290 	 0.001282 
0.235275 	0.044590 	0.032320 	0.029656 	 0.001245 
0.233399 	0.052731 	0.039275 	0.029377 	 0.001515 
0.217544 	0.060707 	0.043552 	0.037318 	 0.001745 
0.255743 	0.054256 	0.038777 	0.037605 	 0.001803 
0.249682 	0.040631 	0.029227 	0.030950 	 0.001315 
0.254384 	0.042030 	0.029467 	0.035794 	 0.001944 
0.220651 	0.055467 	0.041787 	0.028242 	 0.001158 
0.246547 	0.062185 	0.043992 	0.037541 	 0.002872 
0.194124 	0.061516 	0.044091 	0.033383 	 0.001547 
0.215091 	0.070476 	0.050842 	0.042904 	 0.002909 
0.188951 	0.084223 	0.061585 	0.047059 	 0.004123 
0.204389 	0.068521 	0.049534 	0.039930 	 0.003194 
0.214518 	0.054698 	0.039672 	0.037565 	 0.001811 
0.179594 	0.075754 	0.054765 	0.042066 	 0.002545 
0.197851 	0.063338 	0.046331 	0.039076 	 0.002531 
0.200095 	0.072354 	0.052126 	0.041219 	 0.002963 
0.207812 	0.066534 	0.047060 	0.040089 	 0.002845 
0.188179 	0.095103 	0.065979 	0.054804 	 0.003888 
0.230648 	0.048508 	0.036903 	0.029114 	 0.002262 
0.151259 	0.084833 	0.060499 	0.046585 	 0.003209 
0.188278 	0.084544 	0.061392 	0.046857 	 0.003816 
0.198573 	0.074408 	0.052110 	0.047624 	 0.003214 
0.221154 	0.070936 	0.049745 	0.044413 	 0.003490 
0.217464 	0.062317 	0.045202 	0.044352 	 0.003328 
0.161798 	0.080920 	0.057823 	0.045471 	 0.003616 
0.206565 	0.079541 	0.055477 	0.048928 	 0.003901 
0.197156 	0.055495 	0.040994 	0.032556 	 0.002326 
0.171240 	0.083067 	0.058754 	0.049847 	 0.003985 
0.186422 	0.072850 	0.052554 	0.040896 	 0.003377 
0.168959 	0.080232 	0.057716 	0.044330 	 0.003154 
