di 	gli 	gal 	gos3 	 gos4 
0.210126 	0.073404 	0.050961 	0.042789 	 0.002841 
0.233800 	0.066234 	0.045304 	0.042577 	 0.002978 
0.222023 	0.079732 	0.054559 	0.049995 	 0.002867 
0.210855 	0.077869 	0.053599 	0.048000 	 0.002497 
0.188975 	0.093081 	0.065283 	0.049479 	 0.003507 
0.237802 	0.073033 	0.049621 	0.048249 	 0.002687 
0.239014 	0.071543 	0.048583 	0.047067 	 0.002133 
0.172643 	0.083441 	0.057475 	0.048905 	 0.001689 
0.217018 	0.080308 	0.055212 	0.050627 	 0.003217 
0.174869 	0.081700 	0.057786 	0.041519 	 0.002043 
0.227596 	0.077290 	0.052600 	0.049620 	 0.002715 
0.207978 	0.074470 	0.050995 	0.049065 	 0.002072 
0.175751 	0.090569 	0.062440 	0.053411 	 0.003158 
0.190683 	0.097825 	0.067623 	0.058638 	 0.004598 
0.181964 	0.094104 	0.064582 	0.055548 	 0.003497 
0.198552 	0.080901 	0.055416 	0.052098 	 0.002606 
0.191331 	0.086174 	0.059585 	0.049736 	 0.002910 
0.201374 	0.084553 	0.058359 	0.051767 	 0.003297 
0.186905 	0.093237 	0.063898 	0.058684 	 0.003293 
0.211608 	0.093716 	0.063438 	0.062194 	 0.004107 
0.243731 	0.092913 	0.062896 	0.061419 	 0.004676 
0.220711 	0.095110 	0.064602 	0.060037 	 0.004672 
0.101607 	0.120724 	0.084782 	0.064201 	 0.005060 
0.192698 	0.105965 	0.073095 	0.062508 	 0.005183 
0.197584 	0.101814 	0.070083 	0.060533 	 0.004969 
0.225396 	0.092355 	0.062927 	0.058578 	 0.003994 
0.154289 	0.096246 	0.067083 	0.054769 	 0.003861 
0.215250 	0.094365 	0.064069 	0.060311 	 0.004797 
0.218462 	0.095351 	0.064809 	0.059808 	 0.004849 
0.180742 	0.089657 	0.062084 	0.052976 	 0.003380 
0.185346 	0.095726 	0.065541 	0.060536 	 0.004439 
0.197539 	0.092783 	0.063578 	0.058252 	 0.004267 
0.186254 	0.084045 	0.059195 	0.046653 	 0.003486 
0.170789 	0.096869 	0.067100 	0.055001 	 0.004214 
0.150437 	0.097719 	0.068963 	0.053011 	 0.003710 
0.239610 	0.078792 	0.053417 	0.053846 	 0.003780 
0.177317 	0.087459 	0.062145 	0.045539 	 0.003763 
0.217148 	0.079176 	0.054254 	0.048696 	 0.003335 
0.196806 	0.088783 	0.060797 	0.054169 	 0.003905 
0.182291 	0.093305 	0.064092 	0.056276 	 0.003930 
0.204529 	0.084970 	0.058661 	0.053142 	 0.003473 
0.215160 	0.088354 	0.060440 	0.054646 	 0.004107 
0.173740 	0.091727 	0.062343 	0.058463 	 0.003341 
0.171559 	0.096116 	0.066535 	0.055773 	 0.003958 
0.193446 	0.086324 	0.060390 	0.049034 	 0.003920 
0.193791 	0.088559 	0.060721 	0.054902 	 0.003979 
0.180060 	0.091844 	0.063466 	0.054985 	 0.003821 
0.171722 	0.087876 	0.060602 	0.053320 	 0.003369 
0.175324 	0.090628 	0.062499 	0.051619 	 0.003060 
0.190103 	0.081339 	0.056320 	0.048891 	 0.002976 
0.230385 	0.077520 	0.051474 	0.056350 	 0.003344 
0.217199 	0.078457 	0.053919 	0.049584 	 0.003367 
0.196594 	0.085896 	0.058569 	0.051916 	 0.003481 
0.181526 	0.090030 	0.062448 	0.051153 	 0.004005 
0.195456 	0.087540 	0.060253 	0.053615 	 0.003872 
0.216434 	0.085409 	0.058264 	0.054699 	 0.003889 
0.223212 	0.080751 	0.054250 	0.055075 	 0.003548 
0.155473 	0.097396 	0.068827 	0.051331 	 0.004371 
0.181735 	0.086201 	0.060492 	0.048310 	 0.003509 
0.214121 	0.094223 	0.064028 	0.060424 	 0.004805 
0.146984 	0.098975 	0.068896 	0.056304 	 0.003690 
0.187236 	0.086814 	0.060608 	0.051105 	 0.004021 
0.150666 	0.098656 	0.069282 	0.054946 	 0.004090 
0.160824 	0.097007 	0.066842 	0.055735 	 0.003994 
0.188369 	0.087139 	0.060175 	0.053494 	 0.003996 
0.172565 	0.099976 	0.068721 	0.060482 	 0.004610 
0.166752 	0.092384 	0.064971 	0.047270 	 0.003809 
0.156350 	0.090996 	0.063496 	0.052882 	 0.003340 
0.164358 	0.097423 	0.067897 	0.055817 	 0.004318 
0.150486 	0.094546 	0.067399 	0.048333 	 0.003919 
0.161107 	0.099155 	0.068597 	0.055617 	 0.004048 
0.203674 	0.086170 	0.058935 	0.055066 	 0.003752 
0.191784 	0.077177 	0.052842 	0.047814 	 0.002704 
0.213833 	0.086270 	0.058916 	0.053554 	 0.004508 
0.187844 	0.089077 	0.061774 	0.051979 	 0.003785 
0.180153 	0.085186 	0.059709 	0.049030 	 0.003518 
0.203916 	0.089668 	0.061859 	0.053191 	 0.004162 
0.192505 	0.095442 	0.066455 	0.053283 	 0.004990 
0.158496 	0.097710 	0.067360 	0.058056 	 0.004005 
0.193786 	0.087810 	0.060697 	0.052218 	 0.004120 
