di 	gli 	gal 	gos3 	 gos4 
0.292029 	0.007278 	0.005700 	0.006399 	 0.000754 
0.305741 	0.006720 	0.003056 	0.011584 	 0.000841 
0.237434 	0.047339 	0.035235 	0.026518 	 0.001671 
0.240438 	0.036675 	0.027106 	0.023954 	 0.000361 
0.243059 	0.043735 	0.032632 	0.026135 	 0.001322 
0.210498 	0.060921 	0.043956 	0.035560 	 0.001760 
0.248472 	0.045582 	0.033116 	0.030252 	 0.000996 
0.246571 	0.048073 	0.034208 	0.032872 	 0.001431 
0.237535 	0.054618 	0.038170 	0.037881 	 0.002457 
0.224872 	0.048887 	0.036881 	0.027807 	 0.001349 
0.256404 	0.052047 	0.037057 	0.032657 	 0.002606 
0.193916 	0.054739 	0.039167 	0.031779 	 0.001519 
0.212554 	0.064433 	0.047038 	0.038088 	 0.002487 
0.187198 	0.081878 	0.060024 	0.041431 	 0.003761 
0.202008 	0.060893 	0.044844 	0.033841 	 0.002719 
0.211203 	0.057208 	0.041605 	0.035290 	 0.001922 
0.183134 	0.070032 	0.051070 	0.036295 	 0.002242 
0.197286 	0.070858 	0.051515 	0.040251 	 0.002845 
0.188119 	0.071721 	0.051292 	0.040558 	 0.002541 
0.211813 	0.063846 	0.045677 	0.037657 	 0.002751 
0.175829 	0.099927 	0.069210 	0.058193 	 0.004404 
0.215108 	0.053420 	0.040968 	0.026703 	 0.002343 
0.174265 	0.083201 	0.059502 	0.045125 	 0.003466 
0.186378 	0.085186 	0.061848 	0.044607 	 0.003559 
0.214845 	0.062294 	0.044413 	0.040586 	 0.002876 
0.220725 	0.058841 	0.041535 	0.037254 	 0.002852 
0.220467 	0.060614 	0.043496 	0.042110 	 0.003162 
0.164219 	0.071973 	0.052149 	0.040180 	 0.003442 
0.218946 	0.074712 	0.052785 	0.043582 	 0.003742 
0.184874 	0.056055 	0.041329 	0.029705 	 0.001995 
0.169454 	0.080216 	0.057180 	0.043500 	 0.003297 
0.188992 	0.067646 	0.048787 	0.038537 	 0.003205 
0.175158 	0.071689 	0.052527 	0.037447 	 0.002792 
0.211763 	0.064345 	0.046936 	0.036270 	 0.002755 
0.192695 	0.070528 	0.050032 	0.038397 	 0.003343 
0.214729 	0.063150 	0.046395 	0.037244 	 0.002623 
0.204341 	0.051994 	0.039363 	0.028014 	 0.002282 
0.186647 	0.075425 	0.053277 	0.045708 	 0.002954 
0.196810 	0.064435 	0.046232 	0.037115 	 0.002806 
0.189008 	0.087019 	0.060878 	0.049063 	 0.003622 
0.188375 	0.079643 	0.056885 	0.044729 	 0.003411 
0.188077 	0.081240 	0.058590 	0.041034 	 0.003017 
0.177466 	0.075438 	0.053415 	0.044413 	 0.003132 
0.202622 	0.070255 	0.051475 	0.036406 	 0.003279 
0.193470 	0.071684 	0.051955 	0.038911 	 0.002991 
0.188095 	0.073562 	0.052891 	0.041020 	 0.002831 
0.198625 	0.071957 	0.051098 	0.042575 	 0.003463 
0.180670 	0.078190 	0.054362 	0.049578 	 0.004032 
0.200557 	0.056256 	0.042211 	0.027089 	 0.002092 
0.134542 	0.082842 	0.061023 	0.038477 	 0.002389 
0.171618 	0.077102 	0.054945 	0.044400 	 0.003332 
0.196887 	0.064145 	0.045096 	0.040695 	 0.002787 
0.192035 	0.071110 	0.050734 	0.040391 	 0.002793 
0.191345 	0.072341 	0.051801 	0.041696 	 0.003286 
0.185817 	0.067696 	0.049139 	0.038842 	 0.002950 
0.199006 	0.062420 	0.044951 	0.037182 	 0.002363 
0.175308 	0.082287 	0.058441 	0.045595 	 0.002738 
0.162707 	0.078425 	0.056589 	0.040741 	 0.002938 
0.159936 	0.083410 	0.060749 	0.040065 	 0.002381 
0.182083 	0.086937 	0.059990 	0.052097 	 0.003391 
0.185072 	0.080060 	0.055959 	0.046928 	 0.003371 
0.169160 	0.079652 	0.057908 	0.042627 	 0.003465 
0.155593 	0.075192 	0.054576 	0.038163 	 0.002741 
0.149299 	0.084075 	0.059899 	0.045810 	 0.003630 
0.134277 	0.080635 	0.059349 	0.037801 	 0.003014 
0.163228 	0.078932 	0.056726 	0.042577 	 0.003858 
0.167019 	0.074441 	0.054773 	0.037131 	 0.002880 
0.173588 	0.075262 	0.053501 	0.041716 	 0.003241 
0.169047 	0.077378 	0.056627 	0.039821 	 0.003115 
0.164033 	0.072069 	0.052170 	0.038317 	 0.002829 
0.152302 	0.080811 	0.057862 	0.044469 	 0.003581 
0.190517 	0.062840 	0.045867 	0.036884 	 0.002843 
0.161693 	0.083712 	0.059071 	0.046046 	 0.003545 
0.192298 	0.077329 	0.054873 	0.043332 	 0.003475 
0.159973 	0.086509 	0.061896 	0.043082 	 0.003792 
0.163006 	0.077820 	0.056035 	0.042961 	 0.002790 
0.178940 	0.073741 	0.053911 	0.038145 	 0.003348 
0.180869 	0.070407 	0.051309 	0.036328 	 0.003117 
0.139770 	0.087043 	0.063452 	0.041930 	 0.003079 
0.150529 	0.082775 	0.060990 	0.038780 	 0.003437 
0.174940 	0.072483 	0.052232 	0.040878 	 0.002993 
0.151480 	0.077278 	0.055390 	0.041735 	 0.003224 
0.150358 	0.087548 	0.063127 	0.044536 	 0.004205 
0.175251 	0.067720 	0.049814 	0.034868 	 0.002860 
0.147482 	0.086019 	0.063177 	0.040867 	 0.003112 
0.141037 	0.075812 	0.056722 	0.033543 	 0.002590 
0.180960 	0.078968 	0.055647 	0.049185 	 0.003407 
0.150144 	0.098734 	0.070636 	0.050463 	 0.003900 
0.186051 	0.076907 	0.055122 	0.043516 	 0.003485 
0.158165 	0.083130 	0.059840 	0.043425 	 0.002371 
0.155167 	0.078648 	0.057155 	0.040346 	 0.002963 
0.145106 	0.084032 	0.061055 	0.041848 	 0.003347 
0.122499 	0.105554 	0.076490 	0.049722 	 0.004352 
0.173257 	0.091729 	0.064488 	0.052234 	 0.004202 
0.130223 	0.107028 	0.075972 	0.055790 	 0.004719 
0.141213 	0.108073 	0.076881 	0.055210 	 0.004539 
0.146469 	0.103230 	0.072103 	0.055816 	 0.004822 
0.172606 	0.065612 	0.049662 	0.031310 	 0.002983 
0.171526 	0.077439 	0.056359 	0.039599 	 0.003606 
0.162611 	0.075726 	0.054908 	0.038178 	 0.003053 
0.164105 	0.078230 	0.057837 	0.034757 	 0.003292 
0.157254 	0.086427 	0.061316 	0.047060 	 0.003394 
