di 	gli 	gal 	gos3 	 gos4 
0.286885 	0.015647 	0.011600 	0.011519 	 0.000981 
0.286692 	0.011626 	0.006639 	0.012718 	 0.000737 
0.236779 	0.042331 	0.031894 	0.023679 	 0.001441 
0.238173 	0.032953 	0.024797 	0.020821 	 0.000405 
0.266753 	0.035698 	0.026274 	0.024325 	 0.001077 
0.216028 	0.053283 	0.039464 	0.031419 	 0.001665 
0.257483 	0.043874 	0.031208 	0.029508 	 0.001221 
0.239295 	0.046361 	0.033245 	0.030701 	 0.001507 
0.245903 	0.049903 	0.034676 	0.037329 	 0.002467 
0.230471 	0.054845 	0.040112 	0.032158 	 0.001610 
0.253831 	0.051783 	0.036864 	0.032225 	 0.002275 
0.182213 	0.056350 	0.041096 	0.031214 	 0.001659 
0.217829 	0.059432 	0.043476 	0.035133 	 0.002099 
0.187773 	0.081244 	0.059844 	0.040684 	 0.003864 
0.196367 	0.065915 	0.048042 	0.035974 	 0.002724 
0.194356 	0.062649 	0.045004 	0.037839 	 0.001831 
0.196318 	0.063163 	0.046011 	0.034487 	 0.001915 
0.201838 	0.067646 	0.049036 	0.040760 	 0.002699 
0.196949 	0.070755 	0.050842 	0.040680 	 0.002719 
0.199952 	0.068375 	0.048513 	0.040033 	 0.002791 
0.173617 	0.098070 	0.068109 	0.057820 	 0.004610 
0.212693 	0.052555 	0.040828 	0.025032 	 0.001803 
0.183535 	0.072798 	0.053329 	0.041964 	 0.003131 
0.190595 	0.078039 	0.056885 	0.042883 	 0.003373 
0.226250 	0.057723 	0.040888 	0.040887 	 0.003203 
0.228762 	0.056212 	0.040051 	0.036534 	 0.002803 
0.228569 	0.060234 	0.043486 	0.042417 	 0.003234 
0.173049 	0.072721 	0.052735 	0.041212 	 0.003450 
0.210763 	0.071206 	0.050703 	0.041573 	 0.003186 
0.189580 	0.059817 	0.044119 	0.033467 	 0.002564 
0.166939 	0.082286 	0.059028 	0.041781 	 0.003132 
0.190426 	0.069075 	0.049641 	0.040068 	 0.003377 
0.183937 	0.070939 	0.052439 	0.038458 	 0.002743 
0.207840 	0.064078 	0.047053 	0.034789 	 0.002586 
0.187709 	0.066048 	0.047964 	0.033717 	 0.002955 
0.213019 	0.060357 	0.044901 	0.034858 	 0.002485 
0.208610 	0.049649 	0.037492 	0.027940 	 0.002243 
0.200196 	0.068598 	0.048293 	0.043521 	 0.002690 
0.190620 	0.066537 	0.048168 	0.038435 	 0.002905 
0.176786 	0.089515 	0.062943 	0.048183 	 0.003558 
0.199531 	0.074232 	0.053145 	0.043196 	 0.003116 
0.195256 	0.077623 	0.056154 	0.039051 	 0.002856 
0.161727 	0.081936 	0.057667 	0.047319 	 0.003037 
0.204113 	0.073281 	0.053194 	0.037578 	 0.003288 
0.196334 	0.067675 	0.049027 	0.037224 	 0.002474 
0.182792 	0.079901 	0.056876 	0.044949 	 0.003063 
0.185401 	0.075785 	0.054150 	0.043308 	 0.003604 
0.157949 	0.083829 	0.058327 	0.051506 	 0.003971 
0.198209 	0.053657 	0.040759 	0.025935 	 0.001724 
0.136477 	0.086142 	0.063356 	0.040874 	 0.002695 
0.170711 	0.075717 	0.053954 	0.043395 	 0.003339 
0.197979 	0.064330 	0.045195 	0.041345 	 0.002664 
0.195491 	0.072799 	0.051337 	0.043723 	 0.003206 
0.193616 	0.072596 	0.051802 	0.043639 	 0.003236 
0.180580 	0.062288 	0.046233 	0.034041 	 0.002398 
0.192799 	0.063120 	0.045585 	0.036264 	 0.002270 
0.184965 	0.076391 	0.054450 	0.042225 	 0.002594 
0.172901 	0.073971 	0.053954 	0.038078 	 0.002914 
0.157966 	0.084504 	0.061215 	0.041084 	 0.002459 
0.183787 	0.085884 	0.059436 	0.051138 	 0.003760 
0.182264 	0.076128 	0.053840 	0.043648 	 0.003156 
0.174610 	0.077307 	0.056096 	0.042768 	 0.003340 
0.154514 	0.079750 	0.057335 	0.041022 	 0.002892 
0.149340 	0.082401 	0.058432 	0.044645 	 0.003295 
0.143928 	0.078937 	0.057640 	0.038536 	 0.002976 
0.172861 	0.078325 	0.055740 	0.043168 	 0.004239 
0.166491 	0.076290 	0.055813 	0.039008 	 0.003170 
0.172615 	0.080467 	0.057166 	0.044585 	 0.003762 
0.172627 	0.074218 	0.054694 	0.038418 	 0.003072 
0.173142 	0.067075 	0.049199 	0.036925 	 0.002695 
0.149033 	0.080164 	0.057075 	0.045112 	 0.003409 
0.181038 	0.061500 	0.044982 	0.035076 	 0.002304 
0.167438 	0.080821 	0.057790 	0.044408 	 0.003620 
0.187489 	0.075652 	0.053993 	0.042023 	 0.003432 
0.152091 	0.089393 	0.064056 	0.044266 	 0.003888 
0.179168 	0.071802 	0.051993 	0.040343 	 0.002617 
0.169313 	0.078971 	0.057470 	0.040154 	 0.003705 
0.172028 	0.071707 	0.052390 	0.037181 	 0.003055 
0.150391 	0.081015 	0.059356 	0.039158 	 0.002972 
0.147784 	0.079645 	0.059055 	0.036088 	 0.003087 
0.174758 	0.075326 	0.053934 	0.042522 	 0.003204 
0.162007 	0.072056 	0.051897 	0.040436 	 0.003127 
0.154061 	0.085050 	0.061431 	0.043260 	 0.003984 
0.159504 	0.073655 	0.053500 	0.037331 	 0.002737 
0.153294 	0.084051 	0.061408 	0.041856 	 0.002989 
0.147993 	0.069595 	0.052214 	0.031824 	 0.002227 
0.167980 	0.082660 	0.057918 	0.050088 	 0.003619 
0.155505 	0.093471 	0.066553 	0.050011 	 0.003553 
0.179825 	0.077192 	0.055339 	0.043083 	 0.003463 
0.168482 	0.077866 	0.056459 	0.040944 	 0.002428 
0.153011 	0.085942 	0.062016 	0.044579 	 0.003389 
0.139345 	0.083302 	0.060712 	0.040387 	 0.003340 
0.126172 	0.101196 	0.073451 	0.049520 	 0.004279 
