di 	gli 	gal 	gos3 	 gos4 
0.292582 	0.012672 	0.009513 	0.010328 	 0.000959 
0.291214 	0.011392 	0.006154 	0.012996 	 0.000804 
0.235630 	0.045986 	0.034152 	0.025941 	 0.001614 
0.242475 	0.035113 	0.026033 	0.022444 	 0.000570 
0.257760 	0.036958 	0.027575 	0.022816 	 0.000888 
0.217722 	0.055221 	0.040453 	0.031304 	 0.001677 
0.252061 	0.046086 	0.032891 	0.030962 	 0.001274 
0.238128 	0.047036 	0.033568 	0.031434 	 0.001450 
0.245735 	0.050844 	0.035333 	0.038328 	 0.002484 
0.236590 	0.049812 	0.037495 	0.028622 	 0.001364 
0.247976 	0.053991 	0.038189 	0.033975 	 0.002248 
0.186014 	0.056846 	0.040939 	0.031972 	 0.001561 
0.224353 	0.057292 	0.042200 	0.034722 	 0.002047 
0.182421 	0.082713 	0.061006 	0.040870 	 0.003823 
0.202731 	0.062047 	0.045130 	0.035037 	 0.002617 
0.196646 	0.061814 	0.044486 	0.038153 	 0.001917 
0.195562 	0.065216 	0.047080 	0.035021 	 0.002076 
0.208890 	0.066459 	0.048192 	0.039797 	 0.002720 
0.197507 	0.071662 	0.051528 	0.041130 	 0.002787 
0.205958 	0.066973 	0.047767 	0.039282 	 0.002753 
0.169348 	0.100714 	0.069858 	0.058720 	 0.004624 
0.211236 	0.053838 	0.041751 	0.027284 	 0.002013 
0.176716 	0.076465 	0.055738 	0.043234 	 0.003211 
0.188093 	0.080834 	0.058913 	0.043612 	 0.003499 
0.216857 	0.060939 	0.043148 	0.042056 	 0.003098 
0.223926 	0.059244 	0.042062 	0.037893 	 0.002876 
0.224593 	0.061835 	0.044307 	0.042762 	 0.003353 
0.168936 	0.070777 	0.051899 	0.039655 	 0.003303 
0.211746 	0.073263 	0.051675 	0.043015 	 0.003351 
0.189875 	0.059375 	0.043583 	0.032370 	 0.002423 
0.168514 	0.082926 	0.059320 	0.043084 	 0.003160 
0.190063 	0.069629 	0.050062 	0.039468 	 0.003243 
0.182589 	0.071714 	0.052423 	0.038501 	 0.002781 
0.208871 	0.063939 	0.046856 	0.034300 	 0.002448 
0.186922 	0.069802 	0.050392 	0.036214 	 0.003092 
0.210795 	0.061326 	0.045490 	0.034892 	 0.002532 
