di 	gli 	gal 	gos3 	 gos4 
0.293430 	0.011488 	0.008686 	0.009441 	 0.000907 
0.292448 	0.009783 	0.005192 	0.012596 	 0.000771 
0.236826 	0.044325 	0.033091 	0.025194 	 0.001573 
0.242763 	0.036332 	0.027100 	0.022812 	 0.000638 
0.261153 	0.035354 	0.026416 	0.023280 	 0.000867 
0.220372 	0.053295 	0.040022 	0.030522 	 0.001671 
0.254312 	0.046754 	0.032884 	0.031049 	 0.001283 
0.240007 	0.045665 	0.032772 	0.030988 	 0.001452 
0.247559 	0.051289 	0.035488 	0.038681 	 0.002541 
0.235748 	0.049532 	0.036995 	0.028100 	 0.001307 
0.249295 	0.053768 	0.037980 	0.033461 	 0.002289 
0.185903 	0.056635 	0.041388 	0.032400 	 0.001630 
0.226887 	0.056154 	0.041090 	0.034491 	 0.001972 
0.182922 	0.082424 	0.060677 	0.041147 	 0.003828 
0.204523 	0.062086 	0.045311 	0.034642 	 0.002660 
0.196170 	0.062170 	0.044599 	0.038028 	 0.001931 
0.195007 	0.064299 	0.047372 	0.034645 	 0.002026 
0.208266 	0.067284 	0.048923 	0.040757 	 0.002701 
0.198744 	0.070803 	0.050722 	0.041156 	 0.002780 
0.207179 	0.067563 	0.048104 	0.039411 	 0.002787 
0.171244 	0.100367 	0.069553 	0.058821 	 0.004633 
0.213461 	0.052787 	0.040368 	0.026548 	 0.001966 
0.178994 	0.075910 	0.055212 	0.042666 	 0.003217 
0.189912 	0.081112 	0.058996 	0.044188 	 0.003461 
0.219919 	0.060117 	0.042433 	0.041152 	 0.003128 
0.226284 	0.057933 	0.041119 	0.037568 	 0.002855 
0.227071 	0.061119 	0.044340 	0.043041 	 0.003312 
0.171540 	0.072700 	0.052470 	0.040257 	 0.003389 
0.213961 	0.072940 	0.051630 	0.043150 	 0.003441 
0.191057 	0.058231 	0.043912 	0.032437 	 0.002471 
0.169979 	0.082868 	0.059137 	0.043397 	 0.003206 
0.190992 	0.070007 	0.050254 	0.040022 	 0.003252 
0.183916 	0.070260 	0.052540 	0.037804 	 0.002766 
0.211732 	0.063466 	0.046153 	0.034868 	 0.002582 
0.189287 	0.069290 	0.049864 	0.035614 	 0.003119 
0.212769 	0.061362 	0.045418 	0.034783 	 0.002530 
0.214448 	0.049562 	0.037295 	0.027755 	 0.002314 
0.196604 	0.069335 	0.048877 	0.043430 	 0.002563 
0.192269 	0.067636 	0.048697 	0.039514 	 0.002959 
0.177504 	0.088277 	0.062177 	0.048428 	 0.003539 
0.202599 	0.075865 	0.054531 	0.043419 	 0.003391 
0.193346 	0.079810 	0.057223 	0.040677 	 0.002967 
0.172483 	0.083305 	0.058127 	0.048982 	 0.003264 
0.204509 	0.072113 	0.052654 	0.036666 	 0.003223 
0.198343 	0.068463 	0.049410 	0.036893 	 0.002538 
0.190750 	0.076842 	0.054884 	0.042860 	 0.002937 
0.191306 	0.074670 	0.053209 	0.043272 	 0.003548 
0.164461 	0.082832 	0.057743 	0.050977 	 0.003927 
0.203253 	0.053689 	0.040577 	0.026957 	 0.001828 
0.132719 	0.085370 	0.063219 	0.040141 	 0.002585 
0.180835 	0.075560 	0.053518 	0.044313 	 0.003426 
0.196242 	0.065875 	0.046451 	0.041314 	 0.002784 
0.198032 	0.070016 	0.049538 	0.041990 	 0.003009 
0.193031 	0.071686 	0.051482 	0.042404 	 0.003106 
0.185511 	0.063534 	0.046718 	0.035531 	 0.002533 
0.192676 	0.061827 	0.044732 	0.035893 	 0.002182 
0.187915 	0.077723 	0.055073 	0.043596 	 0.002651 
0.171347 	0.075647 	0.054975 	0.038974 	 0.002937 
0.157288 	0.083244 	0.060787 	0.040412 	 0.002342 
0.182737 	0.089849 	0.061818 	0.054154 	 0.003950 
0.177920 	0.076919 	0.054309 	0.043168 	 0.003100 
0.177285 	0.076797 	0.055908 	0.042491 	 0.003304 
0.156698 	0.079192 	0.056996 	0.041235 	 0.002880 
0.150933 	0.082327 	0.058357 	0.045022 	 0.003362 
0.142544 	0.079971 	0.058242 	0.038769 	 0.002973 
0.167927 	0.076935 	0.054898 	0.042183 	 0.004000 
0.168266 	0.074198 	0.054509 	0.036934 	 0.003100 
0.170180 	0.081066 	0.057467 	0.044984 	 0.003683 
0.173260 	0.074371 	0.054806 	0.038317 	 0.003059 
0.176044 	0.064992 	0.048283 	0.035399 	 0.002699 
0.155477 	0.079581 	0.056700 	0.045330 	 0.003447 
0.185335 	0.060235 	0.044155 	0.034340 	 0.002327 
0.162277 	0.084790 	0.060353 	0.046498 	 0.003662 
0.186887 	0.076992 	0.054907 	0.043081 	 0.003568 
0.151394 	0.089965 	0.064403 	0.044555 	 0.003837 
0.177151 	0.073296 	0.052927 	0.042079 	 0.002699 
0.173840 	0.075980 	0.055272 	0.038886 	 0.003545 
0.178555 	0.067509 	0.049774 	0.035319 	 0.002949 
0.149209 	0.081184 	0.059433 	0.039548 	 0.002965 
0.146755 	0.082971 	0.061276 	0.037559 	 0.003239 
0.179644 	0.072882 	0.052322 	0.041940 	 0.003075 
0.162356 	0.075202 	0.054207 	0.041368 	 0.003224 
0.152871 	0.086949 	0.062545 	0.044125 	 0.004026 
0.164702 	0.073680 	0.053357 	0.037750 	 0.002931 
0.153830 	0.080912 	0.059728 	0.040483 	 0.002838 
0.146778 	0.069713 	0.052447 	0.031008 	 0.002135 
0.176089 	0.078978 	0.055459 	0.049261 	 0.003482 
0.155173 	0.094052 	0.066632 	0.049789 	 0.003557 
0.183724 	0.077780 	0.055525 	0.043568 	 0.003479 
0.165877 	0.079957 	0.058092 	0.042005 	 0.002503 
0.158187 	0.081556 	0.059160 	0.042141 	 0.003146 
0.139422 	0.083594 	0.060713 	0.040769 	 0.003291 
0.123442 	0.103883 	0.074895 	0.051490 	 0.004468 
0.172674 	0.090984 	0.063908 	0.050672 	 0.004132 
0.139254 	0.092662 	0.067071 	0.046150 	 0.004151 
0.128913 	0.106356 	0.075930 	0.052344 	 0.004358 
0.146289 	0.095706 	0.067457 	0.050271 	 0.004467 
0.168946 	0.070400 	0.052612 	0.034029 	 0.003047 
0.169002 	0.074461 	0.054179 	0.038453 	 0.003256 
0.163271 	0.075156 	0.054921 	0.038270 	 0.003078 
0.158700 	0.076107 	0.056704 	0.032351 	 0.003142 
0.154638 	0.093584 	0.066014 	0.051374 	 0.003786 
0.141488 	0.103447 	0.071846 	0.058212 	 0.004717 
0.162537 	0.085409 	0.061857 	0.041716 	 0.003297 
0.152294 	0.073555 	0.054294 	0.036189 	 0.003063 
0.156364 	0.099002 	0.069859 	0.053187 	 0.004606 
0.172507 	0.087420 	0.062369 	0.046018 	 0.003852 
0.162843 	0.077609 	0.055743 	0.044711 	 0.003868 
0.106590 	0.101787 	0.072080 	0.051155 	 0.003717 
0.150225 	0.085238 	0.061907 	0.041885 	 0.003924 
0.139393 	0.117395 	0.081585 	0.060041 	 0.004743 
0.133580 	0.098326 	0.069926 	0.049128 	 0.004201 
0.121693 	0.089547 	0.066579 	0.038469 	 0.003850 
0.117465 	0.107205 	0.076129 	0.052226 	 0.003985 
0.117878 	0.109591 	0.078027 	0.053236 	 0.004767 
0.106631 	0.108670 	0.078048 	0.052417 	 0.004810 
0.126676 	0.100559 	0.071294 	0.052702 	 0.004353 
0.133414 	0.103420 	0.074077 	0.051377 	 0.004171 
0.165791 	0.089478 	0.064432 	0.045418 	 0.003982 
0.119988 	0.100388 	0.072947 	0.048265 	 0.003468 
0.116357 	0.109283 	0.077879 	0.054253 	 0.004428 
0.133756 	0.093262 	0.067783 	0.042063 	 0.004238 
0.151636 	0.073515 	0.055998 	0.031126 	 0.002588 
0.110679 	0.089903 	0.066912 	0.038041 	 0.003048 
0.148937 	0.093350 	0.067299 	0.045975 	 0.003747 
