di 	gli 	gal 	gos3 	 gos4 
0.283006 	0.018664 	0.013450 	0.013413 	 0.001137 
0.281537 	0.012780 	0.007549 	0.012826 	 0.000642 
0.232302 	0.044180 	0.033257 	0.023773 	 0.001473 
0.234617 	0.034327 	0.025684 	0.020812 	 0.000346 
0.261985 	0.034937 	0.025970 	0.023800 	 0.001008 
0.214471 	0.055568 	0.041056 	0.032319 	 0.001777 
0.251617 	0.046644 	0.033017 	0.031006 	 0.001364 
0.234971 	0.049426 	0.035541 	0.032093 	 0.001589 
0.243939 	0.051245 	0.035616 	0.038410 	 0.002507 
0.228065 	0.054918 	0.040317 	0.032471 	 0.001626 
0.251254 	0.049762 	0.035834 	0.030964 	 0.002176 
0.184059 	0.055437 	0.040360 	0.030999 	 0.001654 
0.217494 	0.059193 	0.043355 	0.035940 	 0.002171 
0.182566 	0.082681 	0.060821 	0.041229 	 0.003947 
0.193900 	0.065403 	0.047753 	0.035070 	 0.002564 
0.196322 	0.065212 	0.046311 	0.040309 	 0.002004 
0.198258 	0.060081 	0.044145 	0.032654 	 0.001729 
0.201339 	0.068719 	0.049592 	0.040781 	 0.002668 
0.200398 	0.068153 	0.049182 	0.039532 	 0.002574 
0.203336 	0.069040 	0.049092 	0.040604 	 0.002830 
0.174031 	0.094586 	0.066015 	0.055647 	 0.004396 
0.210809 	0.050630 	0.039700 	0.023853 	 0.001712 
0.191030 	0.071122 	0.052069 	0.041215 	 0.003112 
0.189478 	0.077074 	0.056563 	0.041564 	 0.003268 
0.225024 	0.058709 	0.041591 	0.041571 	 0.003335 
0.226785 	0.055172 	0.039799 	0.034952 	 0.002711 
0.226620 	0.060350 	0.043468 	0.042409 	 0.003228 
0.179028 	0.071744 	0.051930 	0.041381 	 0.003448 
0.211488 	0.070143 	0.050242 	0.040275 	 0.003097 
0.192947 	0.058822 	0.043676 	0.032654 	 0.002539 
0.169102 	0.082411 	0.059394 	0.041435 	 0.003125 
0.189931 	0.071610 	0.051364 	0.041458 	 0.003540 
0.186921 	0.068709 	0.051065 	0.036363 	 0.002534 
0.202663 	0.066336 	0.048357 	0.035741 	 0.002654 
0.180709 	0.068411 	0.049768 	0.034204 	 0.002976 
0.216049 	0.060351 	0.044693 	0.034865 	 0.002457 
0.205203 	0.051305 	0.038627 	0.028543 	 0.002230 
0.204652 	0.069687 	0.048700 	0.044147 	 0.002750 
0.190506 	0.067031 	0.048416 	0.039184 	 0.003045 
0.171274 	0.089000 	0.062742 	0.047891 	 0.003546 
0.204199 	0.075440 	0.053921 	0.043726 	 0.003127 
0.188888 	0.079953 	0.057712 	0.039874 	 0.002900 
0.165365 	0.082542 	0.058137 	0.047327 	 0.003014 
0.201401 	0.075602 	0.054408 	0.039450 	 0.003450 
0.193041 	0.069498 	0.050358 	0.037702 	 0.002542 
0.180038 	0.081241 	0.057919 	0.045657 	 0.003102 
0.179922 	0.078243 	0.055731 	0.043996 	 0.003599 
0.160824 	0.085085 	0.059213 	0.052146 	 0.004029 
0.189851 	0.054325 	0.041410 	0.025811 	 0.001668 
0.138830 	0.085781 	0.063008 	0.041125 	 0.002725 
0.171908 	0.074694 	0.053640 	0.042316 	 0.003293 
0.198409 	0.063721 	0.044904 	0.040754 	 0.002627 
0.189674 	0.075036 	0.052992 	0.044457 	 0.003293 
0.194156 	0.072498 	0.051842 	0.043390 	 0.003268 
0.181565 	0.062804 	0.046683 	0.034683 	 0.002411 
0.190645 	0.064092 	0.046370 	0.036926 	 0.002312 
0.182533 	0.075332 	0.053788 	0.041723 	 0.002519 
0.173371 	0.072823 	0.053354 	0.036830 	 0.002858 
0.159631 	0.082854 	0.060150 	0.040223 	 0.002363 
0.178585 	0.086171 	0.059781 	0.050767 	 0.003757 
0.182285 	0.077289 	0.054408 	0.044536 	 0.003229 
0.175080 	0.075806 	0.055055 	0.042271 	 0.003312 
0.152059 	0.081151 	0.058229 	0.041783 	 0.002883 
0.151715 	0.082224 	0.058481 	0.044427 	 0.003289 
0.147519 	0.076167 	0.055651 	0.036774 	 0.002845 
0.169904 	0.078041 	0.055516 	0.043706 	 0.004258 
0.167614 	0.076487 	0.056078 	0.038677 	 0.003087 
0.171791 	0.079900 	0.056772 	0.043795 	 0.003681 
0.174516 	0.074147 	0.054510 	0.038622 	 0.003030 
0.172753 	0.067144 	0.049370 	0.036385 	 0.002618 
0.148524 	0.081010 	0.057714 	0.045310 	 0.003465 
0.182645 	0.062197 	0.045615 	0.035168 	 0.002366 
0.167511 	0.079805 	0.057292 	0.043862 	 0.003589 
0.188818 	0.075812 	0.054281 	0.042322 	 0.003507 
0.151104 	0.089405 	0.063880 	0.044194 	 0.003828 
0.178985 	0.071384 	0.051604 	0.040316 	 0.002645 
0.166566 	0.080356 	0.058293 	0.041134 	 0.003801 
0.173911 	0.071091 	0.051908 	0.037269 	 0.003044 
0.148806 	0.083124 	0.060952 	0.039969 	 0.003030 
0.149643 	0.079438 	0.059056 	0.036018 	 0.003125 
0.174129 	0.075674 	0.054249 	0.043006 	 0.003194 
0.162521 	0.071154 	0.051271 	0.038886 	 0.002998 
0.158695 	0.082929 	0.059751 	0.042205 	 0.003879 
0.155689 	0.073166 	0.053414 	0.036618 	 0.002665 
0.150866 	0.083888 	0.061495 	0.041863 	 0.002983 
0.147885 	0.069075 	0.051712 	0.031311 	 0.002183 
0.162451 	0.082025 	0.057842 	0.048473 	 0.003501 
0.150750 	0.097563 	0.069027 	0.052064 	 0.003712 
0.181556 	0.076152 	0.054440 	0.042900 	 0.003465 
0.168105 	0.075747 	0.055379 	0.039397 	 0.002231 
0.150315 	0.086291 	0.062265 	0.045019 	 0.003400 
0.138861 	0.083618 	0.061023 	0.040283 	 0.003370 
0.127884 	0.100889 	0.073243 	0.049286 	 0.004162 
0.170309 	0.091151 	0.064335 	0.050187 	 0.004215 
0.141243 	0.086645 	0.063288 	0.043040 	 0.003983 
0.131185 	0.105531 	0.075506 	0.051118 	 0.004344 
0.141938 	0.094686 	0.067137 	0.049558 	 0.004522 
0.165001 	0.074286 	0.055214 	0.036448 	 0.003167 
0.172872 	0.073769 	0.053737 	0.037522 	 0.003195 
0.162766 	0.071361 	0.052507 	0.035253 	 0.002709 
0.153474 	0.077348 	0.058170 	0.032830 	 0.003283 
0.152417 	0.091534 	0.064964 	0.048618 	 0.003530 
0.143560 	0.102472 	0.071328 	0.056819 	 0.004635 
0.162603 	0.084385 	0.061194 	0.041109 	 0.003161 
0.153047 	0.071016 	0.052911 	0.033694 	 0.002901 
0.156142 	0.096807 	0.068382 	0.052137 	 0.004506 
0.167632 	0.090530 	0.064187 	0.048114 	 0.004033 
0.167076 	0.075838 	0.054118 	0.044241 	 0.003792 
0.105679 	0.099484 	0.071136 	0.049902 	 0.003751 
0.145329 	0.085706 	0.062155 	0.041353 	 0.003783 
0.141334 	0.115654 	0.080528 	0.059452 	 0.004758 
0.127744 	0.099107 	0.070677 	0.049245 	 0.004230 
0.118548 	0.091366 	0.067938 	0.039060 	 0.003857 
0.118284 	0.107432 	0.076213 	0.051728 	 0.003881 
0.108103 	0.113371 	0.080529 	0.054779 	 0.004821 
0.106643 	0.107505 	0.077174 	0.051978 	 0.004680 
0.116535 	0.103307 	0.073081 	0.054492 	 0.004424 
0.133550 	0.099698 	0.071842 	0.049976 	 0.003981 
0.170271 	0.082742 	0.060139 	0.040876 	 0.003541 
0.115973 	0.100609 	0.072852 	0.047863 	 0.003437 
0.115112 	0.110089 	0.078284 	0.055383 	 0.004421 
0.127329 	0.093464 	0.068010 	0.042074 	 0.004191 
0.149241 	0.076239 	0.057505 	0.031617 	 0.002653 
0.111489 	0.088212 	0.065488 	0.038145 	 0.003027 
0.155162 	0.092708 	0.066763 	0.046120 	 0.003679 
0.126545 	0.096048 	0.070204 	0.042939 	 0.003433 
0.123130 	0.089085 	0.064111 	0.042443 	 0.003139 
0.136643 	0.098507 	0.070810 	0.048880 	 0.004300 
0.133639 	0.089423 	0.065547 	0.038494 	 0.003360 
0.121640 	0.089052 	0.066618 	0.036019 	 0.003103 
0.135008 	0.079980 	0.059137 	0.034567 	 0.002400 
0.126405 	0.088422 	0.065791 	0.035691 	 0.003032 
0.115361 	0.097065 	0.071112 	0.043058 	 0.003931 
0.117456 	0.092042 	0.068572 	0.038471 	 0.002907 
0.133796 	0.088576 	0.064712 	0.042857 	 0.004116 
0.131792 	0.082364 	0.060929 	0.035411 	 0.003525 
0.113610 	0.098790 	0.072038 	0.044660 	 0.004296 
0.125757 	0.101850 	0.072392 	0.050598 	 0.004384 
0.108572 	0.097292 	0.071317 	0.042286 	 0.003713 
0.111496 	0.108388 	0.077042 	0.052663 	 0.004677 
0.130015 	0.097384 	0.069771 	0.045157 	 0.003710 
0.155579 	0.085808 	0.062487 	0.039002 	 0.003224 
0.094558 	0.103975 	0.076676 	0.040536 	 0.003433 
0.089815 	0.115714 	0.084087 	0.048954 	 0.004318 
0.138727 	0.082543 	0.060126 	0.040215 	 0.003320 
0.108645 	0.098468 	0.071780 	0.044461 	 0.003549 
0.104669 	0.083609 	0.062923 	0.030591 	 0.002176 
0.093470 	0.097110 	0.071860 	0.036396 	 0.003310 
0.100033 	0.108241 	0.078232 	0.048269 	 0.004445 
0.099534 	0.113443 	0.081647 	0.052305 	 0.004532 
0.097737 	0.097244 	0.071489 	0.040652 	 0.002675 
0.092583 	0.108929 	0.079352 	0.046037 	 0.003399 
0.130306 	0.089377 	0.065053 	0.042396 	 0.003672 
0.131451 	0.109870 	0.077497 	0.055657 	 0.005010 
0.165130 	0.079434 	0.057723 	0.040346 	 0.003835 
0.155363 	0.090826 	0.065929 	0.042024 	 0.003618 
0.120820 	0.093617 	0.069392 	0.039412 	 0.003403 
0.122876 	0.089936 	0.066565 	0.037224 	 0.003059 
0.096138 	0.121005 	0.087290 	0.051520 	 0.004281 
0.109469 	0.110742 	0.079913 	0.049969 	 0.004536 
0.147659 	0.088482 	0.063909 	0.041325 	 0.003067 
0.099878 	0.104429 	0.076081 	0.044352 	 0.003889 
0.145649 	0.091647 	0.065746 	0.043167 	 0.003842 
0.134679 	0.095257 	0.068628 	0.044851 	 0.003840 
0.142899 	0.102972 	0.073910 	0.048408 	 0.003715 
0.111030 	0.111342 	0.079042 	0.054588 	 0.004479 
0.132398 	0.091563 	0.066713 	0.040400 	 0.003522 
0.112781 	0.088226 	0.065365 	0.035971 	 0.003198 
0.136224 	0.102650 	0.072876 	0.049912 	 0.004125 
0.122004 	0.093163 	0.067383 	0.042198 	 0.003381 
0.115188 	0.111962 	0.080136 	0.050315 	 0.004256 
0.111148 	0.111465 	0.080782 	0.046749 	 0.003895 
0.093391 	0.121644 	0.087645 	0.052304 	 0.005330 
0.123660 	0.094661 	0.069626 	0.039904 	 0.003456 
0.130767 	0.102890 	0.074163 	0.047857 	 0.003904 
0.125448 	0.094007 	0.067935 	0.041590 	 0.003150 
0.125080 	0.102148 	0.073481 	0.044787 	 0.003793 
0.120360 	0.101655 	0.073973 	0.044282 	 0.003888 
0.110113 	0.103406 	0.075293 	0.045637 	 0.003580 
0.089060 	0.120808 	0.086484 	0.054215 	 0.004878 
0.148398 	0.097626 	0.070152 	0.047341 	 0.004440 
0.092292 	0.102866 	0.075903 	0.037502 	 0.002536 
0.104534 	0.105023 	0.076348 	0.044620 	 0.003791 
0.117417 	0.103101 	0.074544 	0.047893 	 0.004083 
0.122095 	0.087253 	0.064462 	0.038041 	 0.003747 
0.103371 	0.109019 	0.077781 	0.050038 	 0.004487 
0.128438 	0.096399 	0.069713 	0.045360 	 0.004068 
0.101467 	0.109364 	0.078549 	0.052095 	 0.004907 
0.099284 	0.113438 	0.081761 	0.050752 	 0.004188 
0.078156 	0.117701 	0.084502 	0.053949 	 0.004293 
0.072120 	0.102226 	0.075044 	0.042998 	 0.003869 
0.127195 	0.105263 	0.074521 	0.051146 	 0.004330 
0.122030 	0.094391 	0.067126 	0.046062 	 0.004108 
0.095391 	0.119757 	0.084794 	0.058121 	 0.005378 
0.118134 	0.106164 	0.075225 	0.050742 	 0.004067 
0.111235 	0.111029 	0.080517 	0.047485 	 0.004376 
0.115874 	0.102941 	0.075318 	0.042630 	 0.004082 
0.107862 	0.112872 	0.080082 	0.054350 	 0.004846 
0.086841 	0.118456 	0.084435 	0.055059 	 0.004481 
0.115008 	0.103945 	0.075177 	0.044932 	 0.003528 
0.091712 	0.115817 	0.081897 	0.055485 	 0.004688 
0.114348 	0.104198 	0.075045 	0.044929 	 0.003643 
0.117919 	0.099099 	0.071682 	0.045907 	 0.003889 
0.081934 	0.111691 	0.081588 	0.042993 	 0.003576 
0.103514 	0.107058 	0.077253 	0.051698 	 0.004482 
0.078590 	0.125596 	0.088964 	0.059305 	 0.005260 
0.103458 	0.126033 	0.088383 	0.063931 	 0.005092 
0.089304 	0.110377 	0.078091 	0.053271 	 0.004690 
0.102128 	0.110676 	0.079311 	0.048897 	 0.003986 
0.091649 	0.097616 	0.071098 	0.042494 	 0.003616 
0.095046 	0.113371 	0.081393 	0.050853 	 0.004119 
0.135075 	0.087534 	0.063858 	0.039009 	 0.003746 
0.074942 	0.118370 	0.085409 	0.051551 	 0.004141 
0.084904 	0.110469 	0.079723 	0.045642 	 0.003558 
0.122395 	0.092592 	0.068252 	0.038333 	 0.003952 
0.100834 	0.116929 	0.084164 	0.050627 	 0.004340 
0.102967 	0.098861 	0.072284 	0.041249 	 0.003504 
0.114472 	0.111338 	0.079868 	0.050393 	 0.004711 
0.098208 	0.117228 	0.083533 	0.054305 	 0.004581 
0.107363 	0.094807 	0.068608 	0.044865 	 0.003917 
0.087179 	0.117990 	0.084614 	0.051388 	 0.004597 
0.085551 	0.106286 	0.077617 	0.044056 	 0.003498 
0.071998 	0.115483 	0.082340 	0.050743 	 0.003886 
0.068747 	0.118460 	0.085809 	0.048642 	 0.003871 
0.110103 	0.129704 	0.091012 	0.060093 	 0.005181 
0.124154 	0.093671 	0.067971 	0.042658 	 0.003756 
0.085540 	0.118477 	0.083611 	0.053106 	 0.003880 
0.091022 	0.120434 	0.084745 	0.058189 	 0.005110 
0.094284 	0.095807 	0.069565 	0.041727 	 0.003542 
0.110493 	0.101569 	0.073233 	0.043619 	 0.002941 
0.073341 	0.111695 	0.080486 	0.047002 	 0.003680 
0.074926 	0.117925 	0.085398 	0.048621 	 0.003972 
0.097647 	0.095083 	0.069820 	0.036410 	 0.002651 
0.081590 	0.108397 	0.079429 	0.042206 	 0.002659 
0.099158 	0.102751 	0.073485 	0.044741 	 0.003160 
0.085407 	0.108427 	0.078057 	0.044263 	 0.003517 
0.082454 	0.111361 	0.079251 	0.050209 	 0.004074 
0.085420 	0.114696 	0.082799 	0.047439 	 0.004276 
0.079886 	0.118516 	0.084060 	0.052448 	 0.003282 
0.119086 	0.088352 	0.064984 	0.035791 	 0.003167 
0.071616 	0.118539 	0.086224 	0.046842 	 0.003805 
0.066070 	0.119351 	0.086187 	0.048160 	 0.004277 
0.085300 	0.103805 	0.076888 	0.036861 	 0.003793 
0.065309 	0.128615 	0.092391 	0.054034 	 0.004742 
0.095801 	0.109310 	0.078626 	0.046381 	 0.003406 
0.104151 	0.122142 	0.086033 	0.057650 	 0.004699 
0.093321 	0.123923 	0.087707 	0.057173 	 0.004518 
0.117036 	0.100342 	0.071868 	0.043728 	 0.003707 
0.117933 	0.097083 	0.069759 	0.043114 	 0.004135 
0.057495 	0.125256 	0.089720 	0.053017 	 0.004633 
0.079711 	0.118883 	0.084927 	0.054746 	 0.004507 
0.065648 	0.130244 	0.092899 	0.055344 	 0.004673 
0.059790 	0.141140 	0.100874 	0.057659 	 0.005059 
0.120058 	0.109412 	0.078577 	0.046690 	 0.004330 
0.051429 	0.121482 	0.087457 	0.048809 	 0.004165 
0.102519 	0.111457 	0.079107 	0.049744 	 0.003886 
0.088191 	0.108703 	0.079297 	0.040731 	 0.003239 
0.105102 	0.076914 	0.057689 	0.028612 	 0.002260 
0.068291 	0.130661 	0.093499 	0.056442 	 0.005068 
0.086702 	0.110459 	0.080540 	0.041608 	 0.003727 
0.122267 	0.088409 	0.065051 	0.037937 	 0.003341 
0.060071 	0.122573 	0.087590 	0.050301 	 0.003887 
0.068388 	0.128888 	0.092257 	0.054500 	 0.004826 
0.047032 	0.120558 	0.087057 	0.047329 	 0.004078 
0.103660 	0.091318 	0.067946 	0.032170 	 0.003098 
0.068715 	0.131957 	0.093579 	0.055795 	 0.003865 
0.045050 	0.141290 	0.100957 	0.060646 	 0.005377 
0.070404 	0.112771 	0.081552 	0.045978 	 0.003915 
0.076497 	0.116899 	0.083539 	0.050930 	 0.004446 
0.070453 	0.119542 	0.086513 	0.047085 	 0.003349 
0.087405 	0.115642 	0.082471 	0.050076 	 0.004124 
0.105532 	0.099957 	0.071479 	0.045800 	 0.004314 
0.089204 	0.114776 	0.083374 	0.044320 	 0.003787 
0.075907 	0.108003 	0.079276 	0.042477 	 0.003998 
0.069201 	0.122504 	0.088725 	0.047996 	 0.004492 
0.063451 	0.122747 	0.087469 	0.052651 	 0.004116 
0.057724 	0.128058 	0.091481 	0.053632 	 0.004385 
0.063195 	0.123399 	0.088508 	0.054776 	 0.004501 
0.086880 	0.116792 	0.084532 	0.048369 	 0.004324 
0.075279 	0.120601 	0.086228 	0.049130 	 0.003630 
0.065485 	0.125487 	0.091640 	0.047468 	 0.004172 
0.054564 	0.118592 	0.086639 	0.044430 	 0.003828 
0.066194 	0.110148 	0.081886 	0.037557 	 0.003062 
0.089400 	0.116967 	0.084816 	0.045462 	 0.004349 
0.074502 	0.106814 	0.078088 	0.038558 	 0.003617 
0.065798 	0.110814 	0.080278 	0.041344 	 0.003423 
0.108025 	0.103856 	0.075414 	0.042152 	 0.004166 
0.038753 	0.124162 	0.090282 	0.046667 	 0.003675 
0.070468 	0.121593 	0.087767 	0.048441 	 0.003722 
0.081796 	0.104329 	0.076960 	0.038759 	 0.003289 
0.075624 	0.123291 	0.088381 	0.051312 	 0.004036 
0.044254 	0.122795 	0.088408 	0.048169 	 0.003399 
0.070863 	0.124366 	0.089705 	0.049249 	 0.004511 
0.119490 	0.101930 	0.073417 	0.043062 	 0.003812 
0.088910 	0.115214 	0.082624 	0.048537 	 0.004122 
0.078438 	0.116187 	0.082675 	0.047028 	 0.003669 
0.081009 	0.095634 	0.071670 	0.032148 	 0.002619 
0.072050 	0.121726 	0.087570 	0.048947 	 0.003624 
0.025693 	0.127702 	0.093855 	0.044200 	 0.003654 
0.096634 	0.108781 	0.077623 	0.043621 	 0.003353 
0.095358 	0.101177 	0.074573 	0.037768 	 0.003113 
0.051959 	0.131444 	0.093864 	0.056456 	 0.004850 
0.082499 	0.119305 	0.085782 	0.048504 	 0.003941 
0.095819 	0.107548 	0.077514 	0.044796 	 0.003384 
0.064497 	0.117638 	0.085486 	0.043813 	 0.003635 
0.086058 	0.111485 	0.080672 	0.042609 	 0.003271 
0.079015 	0.104804 	0.076597 	0.040782 	 0.003223 
0.057387 	0.137409 	0.098190 	0.053046 	 0.004509 
0.067252 	0.116503 	0.085399 	0.040247 	 0.002970 
0.043156 	0.129827 	0.093089 	0.050699 	 0.004290 
0.041464 	0.128741 	0.092346 	0.052210 	 0.004435 
0.087051 	0.115828 	0.083821 	0.045554 	 0.003969 
0.042087 	0.128512 	0.093032 	0.047059 	 0.004235 
0.057640 	0.122200 	0.087668 	0.047154 	 0.003723 
0.087438 	0.106977 	0.076811 	0.042615 	 0.003012 
0.052856 	0.129223 	0.092804 	0.053212 	 0.004222 
0.057086 	0.114168 	0.083312 	0.044533 	 0.003603 
0.069864 	0.128359 	0.091508 	0.053586 	 0.004153 
0.056999 	0.128170 	0.091991 	0.049599 	 0.004198 
0.060717 	0.113253 	0.082370 	0.038902 	 0.002409 
0.052750 	0.118055 	0.085519 	0.043956 	 0.003462 
0.042533 	0.114715 	0.084911 	0.036189 	 0.002957 
0.067450 	0.123773 	0.088398 	0.049851 	 0.003746 
0.079596 	0.118435 	0.084597 	0.048405 	 0.003519 
0.088006 	0.110762 	0.079680 	0.043745 	 0.003525 
0.055468 	0.133952 	0.093737 	0.059457 	 0.004635 
0.080238 	0.121148 	0.086468 	0.048288 	 0.004334 
0.078529 	0.097306 	0.071204 	0.033581 	 0.002325 
0.070718 	0.116388 	0.083900 	0.047393 	 0.003438 
0.056070 	0.107740 	0.079250 	0.036225 	 0.002716 
0.073215 	0.115442 	0.081860 	0.048055 	 0.003877 
0.112206 	0.101787 	0.073505 	0.040891 	 0.003044 
0.089541 	0.112579 	0.081321 	0.044467 	 0.003434 
0.058991 	0.132634 	0.093811 	0.057288 	 0.004820 
0.066669 	0.114486 	0.083588 	0.043066 	 0.003476 
0.053887 	0.133874 	0.095166 	0.052220 	 0.004024 
0.094842 	0.109209 	0.078463 	0.042894 	 0.002955 
0.073272 	0.107361 	0.078579 	0.037102 	 0.003057 
0.065146 	0.120441 	0.087667 	0.042955 	 0.004264 
0.059939 	0.120091 	0.088309 	0.040237 	 0.003660 
0.065774 	0.117417 	0.084412 	0.046751 	 0.003772 
0.108522 	0.109411 	0.078522 	0.043809 	 0.003251 
0.069391 	0.109773 	0.079945 	0.041627 	 0.003717 
0.088118 	0.104757 	0.075997 	0.039107 	 0.003192 
0.090828 	0.103191 	0.075422 	0.038254 	 0.003225 
