di 	gli 	gal 	gos3 	 gos4 
0.288485 	0.015907 	0.011475 	0.011275 	 0.001039 
0.287038 	0.013585 	0.007907 	0.013788 	 0.000787 
0.238735 	0.043336 	0.032671 	0.023757 	 0.001507 
0.240405 	0.034095 	0.025649 	0.020707 	 0.000486 
0.266450 	0.035431 	0.026120 	0.024093 	 0.001020 
0.218164 	0.052798 	0.039393 	0.030800 	 0.001670 
0.257590 	0.043038 	0.030771 	0.029441 	 0.001246 
0.236604 	0.046783 	0.033702 	0.030801 	 0.001430 
0.247185 	0.050982 	0.035599 	0.038755 	 0.002529 
0.231006 	0.051313 	0.038046 	0.030587 	 0.001464 
0.253117 	0.052317 	0.037415 	0.031902 	 0.002314 
0.182917 	0.056916 	0.041269 	0.031529 	 0.001637 
0.221681 	0.058704 	0.042902 	0.035387 	 0.002080 
0.188264 	0.080833 	0.059481 	0.040285 	 0.003851 
0.196214 	0.066238 	0.048237 	0.035941 	 0.002680 
0.193309 	0.062354 	0.044830 	0.037568 	 0.001826 
0.193657 	0.063833 	0.046670 	0.033570 	 0.001893 
0.203620 	0.067895 	0.049288 	0.040129 	 0.002726 
0.197011 	0.071031 	0.051010 	0.041680 	 0.002775 
0.200150 	0.067974 	0.048593 	0.039463 	 0.002740 
0.173718 	0.099384 	0.069189 	0.058734 	 0.004651 
0.210261 	0.052534 	0.040855 	0.024958 	 0.001827 
0.180437 	0.074124 	0.054300 	0.041935 	 0.003125 
0.191862 	0.078396 	0.057094 	0.043196 	 0.003344 
0.224417 	0.059205 	0.041856 	0.041558 	 0.003177 
0.227133 	0.057630 	0.040862 	0.036970 	 0.002838 
0.227395 	0.060913 	0.043843 	0.042544 	 0.003248 
0.172994 	0.072782 	0.052793 	0.040730 	 0.003402 
0.212132 	0.072377 	0.051577 	0.041459 	 0.003283 
0.189074 	0.059025 	0.043589 	0.033148 	 0.002518 
0.168350 	0.081584 	0.059048 	0.042117 	 0.003175 
0.193647 	0.068634 	0.049457 	0.039771 	 0.003339 
0.183237 	0.071832 	0.053268 	0.038422 	 0.002784 
0.210790 	0.064110 	0.046809 	0.034632 	 0.002526 
0.185777 	0.067774 	0.049236 	0.034750 	 0.002938 
0.212246 	0.060587 	0.045169 	0.034675 	 0.002495 
0.210710 	0.049718 	0.037652 	0.028224 	 0.002258 
0.198670 	0.069718 	0.049031 	0.044130 	 0.002769 
0.188663 	0.066672 	0.048292 	0.038039 	 0.002882 
0.178236 	0.088693 	0.062291 	0.047788 	 0.003524 
0.201682 	0.075102 	0.053768 	0.043666 	 0.003217 
0.195188 	0.078411 	0.056611 	0.039614 	 0.002897 
0.162426 	0.082591 	0.058531 	0.047721 	 0.003111 
0.204259 	0.072197 	0.052650 	0.036792 	 0.003251 
0.197521 	0.066946 	0.048746 	0.036531 	 0.002492 
0.186796 	0.079635 	0.056690 	0.045592 	 0.003078 
0.188067 	0.075034 	0.053589 	0.042953 	 0.003550 
0.160682 	0.083988 	0.058610 	0.051451 	 0.003966 
0.202083 	0.052625 	0.040024 	0.025576 	 0.001757 
0.133873 	0.087029 	0.063966 	0.041366 	 0.002711 
0.170833 	0.075595 	0.054196 	0.043489 	 0.003310 
0.200403 	0.065005 	0.045779 	0.041778 	 0.002763 
0.196519 	0.072451 	0.051207 	0.043254 	 0.003148 
0.194229 	0.072669 	0.051881 	0.043246 	 0.003211 
0.181718 	0.064304 	0.047611 	0.035330 	 0.002521 
0.193802 	0.062238 	0.045139 	0.036222 	 0.002270 
0.183791 	0.076740 	0.054684 	0.042287 	 0.002605 
0.170706 	0.075223 	0.054678 	0.038422 	 0.002884 
0.155261 	0.084609 	0.061694 	0.040763 	 0.002448 
0.185308 	0.087593 	0.060413 	0.052429 	 0.003883 
0.180987 	0.076168 	0.054046 	0.043332 	 0.003134 
0.174684 	0.077571 	0.056157 	0.042891 	 0.003368 
0.157868 	0.078161 	0.056063 	0.040600 	 0.002843 
0.146788 	0.082405 	0.058503 	0.044454 	 0.003305 
0.141550 	0.079175 	0.057653 	0.038093 	 0.002942 
0.171249 	0.077928 	0.055668 	0.042951 	 0.004224 
0.164448 	0.075925 	0.055936 	0.038723 	 0.003151 
0.170401 	0.082248 	0.058044 	0.044890 	 0.003745 
0.172552 	0.075566 	0.055493 	0.039099 	 0.003101 
0.171476 	0.068049 	0.049690 	0.037166 	 0.002696 
0.150440 	0.079862 	0.057060 	0.044709 	 0.003383 
0.180582 	0.060341 	0.044351 	0.034457 	 0.002286 
0.163236 	0.081192 	0.058126 	0.044470 	 0.003592 
0.187227 	0.076178 	0.054337 	0.042824 	 0.003569 
0.149956 	0.090894 	0.065096 	0.044685 	 0.003923 
0.175552 	0.072995 	0.052707 	0.041011 	 0.002661 
0.172786 	0.076993 	0.056055 	0.039089 	 0.003601 
0.174127 	0.069478 	0.050926 	0.035713 	 0.002937 
0.151597 	0.080074 	0.058991 	0.039187 	 0.002987 
0.150016 	0.079983 	0.059416 	0.036351 	 0.003104 
0.175086 	0.075020 	0.053590 	0.042781 	 0.003169 
0.161803 	0.074138 	0.053299 	0.040838 	 0.003144 
0.154553 	0.085524 	0.061747 	0.043506 	 0.004022 
0.159499 	0.074788 	0.054332 	0.037837 	 0.002822 
0.151131 	0.083166 	0.060917 	0.041385 	 0.002958 
0.148012 	0.068908 	0.051778 	0.031117 	 0.002143 
0.170517 	0.082123 	0.057622 	0.050618 	 0.003596 
0.155646 	0.092265 	0.065713 	0.049501 	 0.003530 
0.181259 	0.077913 	0.055331 	0.042843 	 0.003468 
0.168268 	0.077124 	0.056208 	0.041316 	 0.002435 
0.153242 	0.084545 	0.061305 	0.043906 	 0.003303 
0.139107 	0.083012 	0.060633 	0.039747 	 0.003309 
0.126813 	0.102447 	0.074024 	0.050230 	 0.004295 
0.171635 	0.089768 	0.063429 	0.049623 	 0.004128 
0.141376 	0.089947 	0.065027 	0.045414 	 0.004072 
0.132682 	0.105431 	0.075105 	0.051671 	 0.004344 
0.144772 	0.095396 	0.067338 	0.050519 	 0.004561 
0.167770 	0.071869 	0.053614 	0.034983 	 0.003096 
0.174249 	0.074153 	0.054036 	0.038154 	 0.003278 
0.161722 	0.074659 	0.054861 	0.037457 	 0.002943 
0.157136 	0.075786 	0.057148 	0.031364 	 0.003120 
0.154435 	0.092256 	0.065471 	0.049948 	 0.003647 
0.139669 	0.102977 	0.071988 	0.057185 	 0.004656 
0.163829 	0.085770 	0.061993 	0.042412 	 0.003298 
0.154837 	0.071835 	0.053191 	0.034782 	 0.003000 
0.157143 	0.096545 	0.068550 	0.051817 	 0.004488 
0.172700 	0.087000 	0.062024 	0.046086 	 0.003803 
0.165525 	0.078874 	0.056302 	0.045858 	 0.003936 
0.101974 	0.101488 	0.072404 	0.050124 	 0.003744 
0.150498 	0.084112 	0.061207 	0.040632 	 0.003822 
0.139497 	0.117314 	0.081545 	0.060532 	 0.004831 
0.131596 	0.098199 	0.070158 	0.049272 	 0.004240 
0.120664 	0.090577 	0.067323 	0.039050 	 0.003956 
0.117134 	0.106261 	0.075451 	0.051743 	 0.003903 
0.112313 	0.111507 	0.079304 	0.054046 	 0.004765 
0.109138 	0.108732 	0.078298 	0.052442 	 0.004794 
0.122823 	0.100776 	0.071372 	0.052685 	 0.004329 
0.133992 	0.102968 	0.074008 	0.051886 	 0.004150 
0.165224 	0.086689 	0.062767 	0.042628 	 0.003676 
0.120078 	0.100861 	0.072558 	0.048244 	 0.003483 
0.111422 	0.110333 	0.078582 	0.054398 	 0.004390 
0.132516 	0.091642 	0.066857 	0.041421 	 0.004139 
0.147773 	0.075615 	0.057390 	0.031442 	 0.002648 
0.111057 	0.090456 	0.067099 	0.038982 	 0.003104 
0.147963 	0.095031 	0.068437 	0.047256 	 0.003766 
0.131757 	0.094845 	0.069287 	0.042686 	 0.003486 
0.121362 	0.090403 	0.065055 	0.043025 	 0.003165 
0.133434 	0.100995 	0.072546 	0.049460 	 0.004305 
0.134654 	0.088727 	0.065210 	0.037815 	 0.003354 
0.120599 	0.091203 	0.067976 	0.037937 	 0.003199 
0.134607 	0.080258 	0.059448 	0.034530 	 0.002400 
0.127292 	0.087675 	0.065381 	0.034775 	 0.002925 
0.120493 	0.095508 	0.070107 	0.042416 	 0.003905 
0.115396 	0.093522 	0.069630 	0.038798 	 0.002921 
0.135614 	0.089358 	0.065527 	0.043478 	 0.004252 
0.126441 	0.082597 	0.061317 	0.035078 	 0.003442 
0.114066 	0.097036 	0.070969 	0.042746 	 0.004123 
0.122275 	0.103412 	0.073211 	0.051399 	 0.004361 
0.109532 	0.099198 	0.072498 	0.043296 	 0.003778 
0.115004 	0.107160 	0.076207 	0.051844 	 0.004579 
0.129347 	0.096191 	0.069222 	0.043817 	 0.003536 
0.155636 	0.083684 	0.061299 	0.037873 	 0.003121 
0.093716 	0.105583 	0.077468 	0.041508 	 0.003575 
0.095487 	0.113029 	0.082485 	0.047524 	 0.004216 
0.138587 	0.082465 	0.060443 	0.040032 	 0.003314 
0.111690 	0.096338 	0.070627 	0.042768 	 0.003547 
0.112423 	0.081540 	0.061303 	0.029743 	 0.002067 
0.090263 	0.098263 	0.072598 	0.036760 	 0.003317 
0.105059 	0.108713 	0.078184 	0.049774 	 0.004528 
0.104248 	0.116667 	0.083334 	0.054638 	 0.004791 
0.096533 	0.099417 	0.073133 	0.041558 	 0.002757 
0.093481 	0.110261 	0.079969 	0.046979 	 0.003547 
0.132644 	0.089548 	0.064912 	0.042549 	 0.003787 
0.129519 	0.112811 	0.079525 	0.057252 	 0.005119 
0.169874 	0.078664 	0.057088 	0.039875 	 0.003727 
0.149865 	0.091289 	0.066600 	0.041359 	 0.003616 
0.122942 	0.093615 	0.069725 	0.039194 	 0.003396 
0.127476 	0.087636 	0.064910 	0.035416 	 0.003080 
0.094582 	0.121706 	0.087807 	0.052136 	 0.004335 
0.108549 	0.111894 	0.080644 	0.050651 	 0.004600 
0.146141 	0.087583 	0.063398 	0.041338 	 0.003148 
0.104361 	0.102385 	0.074576 	0.043481 	 0.003789 
0.141454 	0.095907 	0.068656 	0.046145 	 0.004052 
0.138766 	0.095135 	0.068336 	0.044498 	 0.003896 
0.139542 	0.104788 	0.074801 	0.050245 	 0.003895 
0.104869 	0.113186 	0.080359 	0.054887 	 0.004466 
0.135797 	0.089635 	0.065181 	0.039523 	 0.003411 
0.114891 	0.085883 	0.064065 	0.034299 	 0.003072 
0.130120 	0.103812 	0.073718 	0.050582 	 0.004210 
0.119530 	0.094338 	0.068324 	0.042362 	 0.003302 
0.111561 	0.109545 	0.078801 	0.048440 	 0.004099 
0.107238 	0.110260 	0.080309 	0.044971 	 0.003735 
0.098750 	0.121937 	0.087501 	0.052862 	 0.005289 
0.124518 	0.092816 	0.068507 	0.038392 	 0.003322 
0.131595 	0.105082 	0.075290 	0.049348 	 0.004107 
0.120112 	0.096298 	0.069491 	0.042704 	 0.003156 
0.117266 	0.105491 	0.075808 	0.045821 	 0.003842 
0.124193 	0.102207 	0.074272 	0.044585 	 0.003932 
0.116773 	0.102716 	0.074788 	0.045232 	 0.003549 
0.087421 	0.121762 	0.087158 	0.054934 	 0.004972 
0.142127 	0.102297 	0.073467 	0.049421 	 0.004561 
0.097767 	0.100445 	0.073915 	0.036693 	 0.002478 
0.110036 	0.102873 	0.074832 	0.043689 	 0.003665 
0.119057 	0.100701 	0.072943 	0.046782 	 0.004034 
0.120347 	0.089648 	0.066337 	0.039150 	 0.003863 
0.108667 	0.108317 	0.077258 	0.049872 	 0.004448 
0.136113 	0.092832 	0.067168 	0.043756 	 0.003859 
0.099314 	0.108732 	0.078143 	0.051858 	 0.004770 
0.100619 	0.113188 	0.081405 	0.050997 	 0.004192 
0.077808 	0.117869 	0.084965 	0.053876 	 0.004314 
0.078773 	0.102404 	0.074538 	0.044075 	 0.003917 
0.119673 	0.105797 	0.075138 	0.050263 	 0.004321 
0.120390 	0.093381 	0.066391 	0.045592 	 0.004076 
0.097219 	0.118688 	0.083915 	0.058107 	 0.005339 
0.115313 	0.107797 	0.076274 	0.052923 	 0.004204 
0.109107 	0.112196 	0.081343 	0.048294 	 0.004454 
0.121367 	0.102790 	0.075183 	0.042533 	 0.004099 
