di 	gli 	gal 	gos3 	 gos4 
0.270699 	0.031600 	0.022963 	0.025143 	 0.002096 
0.262904 	0.036791 	0.025695 	0.029790 	 0.002466 
0.219000 	0.066782 	0.048072 	0.038426 	 0.002270 
0.210899 	0.064519 	0.046742 	0.035841 	 0.002050 
0.236721 	0.066809 	0.047981 	0.039129 	 0.003153 
0.219147 	0.068942 	0.050114 	0.038417 	 0.002761 
0.264220 	0.056654 	0.039939 	0.038873 	 0.002465 
0.209745 	0.058775 	0.042191 	0.035848 	 0.001203 
0.246948 	0.057104 	0.039335 	0.043662 	 0.002758 
0.215005 	0.070602 	0.050577 	0.041094 	 0.002893 
0.251761 	0.064388 	0.044507 	0.043372 	 0.003335 
0.216656 	0.058052 	0.043390 	0.031621 	 0.001968 
0.211715 	0.078565 	0.054611 	0.050123 	 0.003800 
0.184595 	0.091648 	0.065363 	0.050973 	 0.004434 
0.220677 	0.070689 	0.050221 	0.043582 	 0.003828 
0.214918 	0.068106 	0.047327 	0.046928 	 0.002991 
0.165957 	0.090202 	0.064912 	0.043441 	 0.002845 
0.209045 	0.072806 	0.051846 	0.043806 	 0.003210 
0.191993 	0.085915 	0.060326 	0.050733 	 0.003592 
0.201023 	0.081237 	0.057935 	0.046460 	 0.003608 
0.209966 	0.098549 	0.068067 	0.057847 	 0.004113 
0.256559 	0.067173 	0.047227 	0.045983 	 0.003810 
0.142820 	0.088253 	0.065301 	0.043846 	 0.004000 
0.190928 	0.095302 	0.068052 	0.052317 	 0.004519 
0.203207 	0.083803 	0.059292 	0.049434 	 0.004162 
0.241027 	0.078863 	0.055387 	0.048032 	 0.004416 
0.169184 	0.084227 	0.060628 	0.048035 	 0.003999 
0.176558 	0.090417 	0.065675 	0.045783 	 0.004481 
0.224558 	0.084587 	0.058227 	0.054814 	 0.004785 
0.191596 	0.070150 	0.053030 	0.034857 	 0.003895 
0.153839 	0.095040 	0.067800 	0.051411 	 0.004290 
0.193358 	0.081258 	0.058780 	0.043649 	 0.003864 
0.180359 	0.077876 	0.057633 	0.038253 	 0.003734 
0.197299 	0.078351 	0.055253 	0.045745 	 0.003538 
0.180374 	0.074071 	0.054674 	0.036900 	 0.003282 
0.197766 	0.086040 	0.062231 	0.045226 	 0.004145 
0.198464 	0.073570 	0.054288 	0.038175 	 0.003946 
0.197938 	0.081491 	0.057256 	0.047412 	 0.003571 
0.195542 	0.074515 	0.053639 	0.041135 	 0.003318 
0.169893 	0.092757 	0.065187 	0.051097 	 0.004003 
0.205626 	0.080484 	0.057189 	0.046738 	 0.003987 
0.200362 	0.083866 	0.060086 	0.043995 	 0.003258 
0.167223 	0.087036 	0.062122 	0.046385 	 0.003536 
0.211171 	0.083751 	0.058566 	0.049823 	 0.004036 
0.207633 	0.074945 	0.053475 	0.043104 	 0.003917 
0.204266 	0.083075 	0.057361 	0.053396 	 0.004581 
0.212926 	0.080520 	0.055494 	0.052300 	 0.004137 
0.184342 	0.075212 	0.052594 	0.047208 	 0.003658 
0.207441 	0.067499 	0.050166 	0.033374 	 0.003132 
0.149499 	0.081800 	0.060398 	0.037495 	 0.002443 
0.201981 	0.075321 	0.053741 	0.044301 	 0.003856 
0.197356 	0.078941 	0.055741 	0.046076 	 0.003480 
0.184219 	0.085132 	0.060701 	0.045220 	 0.003835 
0.194364 	0.077162 	0.054344 	0.046809 	 0.004214 
0.199725 	0.076923 	0.054492 	0.046827 	 0.004017 
0.198711 	0.082190 	0.058128 	0.046499 	 0.003483 
0.184203 	0.089801 	0.063018 	0.049858 	 0.003428 
0.180432 	0.077774 	0.055946 	0.043448 	 0.003827 
0.180032 	0.082174 	0.059126 	0.042464 	 0.002927 
0.184922 	0.097058 	0.066386 	0.059111 	 0.004447 
0.159490 	0.088288 	0.063013 	0.046979 	 0.003710 
0.192739 	0.075416 	0.053957 	0.045495 	 0.004112 
0.163894 	0.093466 	0.065726 	0.053635 	 0.004146 
0.176785 	0.083104 	0.058621 	0.048300 	 0.004061 
