# k	cb	gl	xy
1	0.216855	3.3205	1.46271
2	0.217683	2.51079	1.24179
3	0.21437	2.44119	1.18337
4	0.213465	2.34868	1.16499
5	0.158765	2.06003	1.03542
6	0.160319	1.90482	0.979865
7	0.152272	1.99658	1.02101
8	0.146656	2.00685	1.02886
9	0.144378	2.04233	1.04463
10	0.140204	2.04955	1.04905
11	0.14185	2.09962	1.09864
12	0.133895	2.13292	1.113
13	0.133335	2.14308	1.11643
14	0.140881	2.1815	1.14764
15	0.13794	2.17944	1.15327
