# k	cb	gl	xy
1	0.131348	0.180325	0.143896
2	0.131849	0.136352	0.122163
3	0.129842	0.132573	0.116416
4	0.129294	0.127548	0.114608
5	0.0961629	0.111873	0.101862
6	0.0971042	0.103444	0.096396
7	0.0922299	0.108427	0.100444
8	0.0888284	0.108985	0.101216
9	0.0874489	0.110912	0.102768
10	0.0849205	0.111304	0.103202
11	0.0859178	0.114023	0.108081
12	0.0810996	0.115832	0.109493
13	0.0807601	0.116383	0.109831
14	0.0853306	0.118469	0.112901
15	0.0835491	0.118358	0.113455
