# k	cb	gl	xy
1	0.0251029	0.0470826	0.0403815
2	0.0318079	0.0334121	0.033076
3	0.0461554	0.0399948	0.0392462
4	0.0453298	0.034071	0.0331821
5	0.0399302	0.0305924	0.0293344
6	0.0394382	0.0346866	0.0315263
7	0.0386008	0.034432	0.0308239
8	0.0382827	0.0425746	0.0378587
9	0.0381895	0.0438333	0.039431
10	0.0382072	0.0453371	0.0405516
11	0.0382416	0.0447163	0.0410568
12	0.0380037	0.045059	0.0406134
13	0.0380584	0.0451962	0.0405304
14	0.0380421	0.0452366	0.0405114
15	0.0380624	0.0453591	0.040555
