# k	cb	gl	xy
1	0.0414448	0.539002	0.249396
2	0.0525149	0.382502	0.204277
3	0.0762025	0.45786	0.242384
4	0.0748396	0.390045	0.204932
5	0.0659247	0.350222	0.181169
6	0.0651124	0.397092	0.194707
7	0.0637299	0.394178	0.190368
8	0.0632047	0.487394	0.233815
9	0.0630509	0.501804	0.243526
10	0.0630802	0.51902	0.250446
11	0.0631368	0.511912	0.253567
12	0.062744	0.515836	0.250828
13	0.0628344	0.517406	0.250315
14	0.0628075	0.517868	0.250198
15	0.062841	0.51927	0.250468
