0.000000000000000000e+00	1.215000000000000080e+00	6.262999999999999901e+00	3.068999999999999950e+00
7.200000000000000000e+02	9.110000000000000320e-01	1.451900000000000013e+01	7.286999999999999922e+00
1.440000000000000000e+03	7.900000000000000355e-01	1.365499999999999936e+01	6.966999999999999638e+00
2.400000000000000000e+02	1.354000000000000092e+00	1.336899999999999977e+01	6.738999999999999879e+00
3.000000000000000000e+01	1.449999999999999956e+00	8.483000000000000540e+00	4.850999999999999979e+00
6.000000000000000000e+01	1.350000000000000089e+00	8.986000000000000654e+00	4.913000000000000256e+00
4.200000000000000000e+02	1.195000000000000062e+00	1.422300000000000075e+01	6.963000000000000078e+00
1.800000000000000000e+02	1.042000000000000037e+00	1.326500000000000057e+01	6.996000000000000441e+00
1.200000000000000000e+02	1.320000000000000062e+00	1.066000000000000014e+01	5.576999999999999957e+00
4.800000000000000000e+02	1.020000000000000018e+00	1.349600000000000044e+01	7.134000000000000341e+00
3.600000000000000000e+02	1.199999999999999956e+00	1.360699999999999932e+01	6.762999999999999901e+00
6.000000000000000000e+02	9.919999999999999929e-01	1.353100000000000058e+01	7.195000000000000284e+00
