3.000000000000000000e+01	9.150000000000000355e-01	9.538999999999999702e+00	4.850999999999999979e+00
1.200000000000000000e+03	7.289999999999999813e-01	1.430499999999999972e+01	6.966999999999999638e+00
6.000000000000000000e+01	8.930000000000000160e-01	1.060999999999999943e+01	4.913000000000000256e+00
7.200000000000000000e+02	7.750000000000000222e-01	1.357600000000000051e+01	7.286999999999999922e+00
5.400000000000000000e+02	7.830000000000000293e-01	1.433699999999999974e+01	7.147999999999999687e+00
6.600000000000000000e+02	7.940000000000000391e-01	1.343999999999999950e+01	6.727000000000000313e+00
4.200000000000000000e+02	8.689999999999999947e-01	1.350999999999999979e+01	6.963000000000000078e+00
1.440000000000000000e+03	7.840000000000000302e-01	1.502699999999999925e+01	6.966999999999999638e+00
2.400000000000000000e+02	7.840000000000000302e-01	1.215499999999999936e+01	6.738999999999999879e+00
6.000000000000000000e+02	9.210000000000000409e-01	1.326900000000000013e+01	7.195000000000000284e+00
4.800000000000000000e+02	8.120000000000000551e-01	1.348000000000000043e+01	7.134000000000000341e+00
1.800000000000000000e+02	9.639999999999999680e-01	1.245500000000000007e+01	6.996000000000000441e+00
9.600000000000000000e+02	7.850000000000000311e-01	1.428400000000000070e+01	6.716999999999999638e+00
