# k	cb	gl	xy
1	0.225361	3.13431	1.42681
2	0.205701	2.14414	1.0775
3	0.20562	2.04258	0.981169
4	0.203234	1.391	0.723873
5	0.125195	1.37247	0.722315
6	0.105553	1.05897	0.579864
7	0.0830669	0.947032	0.524309
8	0.0742644	0.84154	0.437562
9	0.0696819	0.721262	0.37102
10	0.069639	0.543841	0.341853
11	0.0650029	0.467404	0.293172
12	0.0536848	0.42857	0.286339
13	0.0480083	0.404394	0.252089
14	0.0361907	0.403051	0.251947
15	0.0274118	0.394864	0.242296
