# k	cb	gl	xy
1	1.26592	14.1005	6.98066
2	1.26592	14.1005	6.98066
3	1.26592	14.1005	6.98066
4	1.26592	14.1005	6.98066
5	1.26592	14.1005	6.98066
6	1.26592	14.1005	6.98066
7	1.26592	14.1005	6.98066
8	1.26592	14.1005	6.98066
9	1.26592	14.1005	6.98066
10	1.26592	14.1005	6.98066
11	1.26592	14.1005	6.98066
12	1.26592	14.1005	6.98066
13	1.26592	14.1005	6.98066
14	1.26592	14.1005	6.98066
15	1.26592	14.1005	6.98066
