# k	cb	gl	xy
1	0.890866	0.805283	0.835207
2	0.890866	0.805283	0.835207
3	0.890866	0.805283	0.835207
4	0.890866	0.805283	0.835207
5	0.890866	0.805283	0.835207
6	0.890866	0.805283	0.835207
7	0.890866	0.805283	0.835207
8	0.890866	0.805283	0.835207
9	0.890866	0.805283	0.835207
10	0.890866	0.805283	0.835207
11	0.890866	0.805283	0.835207
12	0.890866	0.805283	0.835207
13	0.890866	0.805283	0.835207
14	0.890866	0.805283	0.835207
15	0.890866	0.805283	0.835207
