# k	cb	gl	xy
1	0.136499	0.170214	0.140365
2	0.124592	0.116441	0.106001
3	0.124543	0.110925	0.0965243
4	0.123098	0.0755401	0.0712123
5	0.07583	0.0745339	0.071059
6	0.0639331	0.0575091	0.0570452
7	0.0503131	0.05143	0.0515798
8	0.0449815	0.0457011	0.043046
9	0.0422059	0.0391692	0.0364998
10	0.0421799	0.0295341	0.0336304
11	0.0393718	0.0253831	0.0288413
12	0.0325166	0.0232741	0.0281691
13	0.0290783	0.0219612	0.0247997
14	0.0219205	0.0218883	0.0247857
15	0.0166031	0.0214437	0.0238363
